Comment,mistral-small:22b - Sentiment,mistral-small:22b - Reasoning,mistral-small:22b - Total Duration,mistral-small:22b - Load Duration,mistral-small:22b - Prompt Eval Count,mistral-small:22b - Prompt Eval Duration,mistral-small:22b - Eval Count,mistral-small:22b - Eval Duration,mistral-small:22b - Temperature,mistral-small:22b - Seed,mistral-small:22b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses a clear intention to leave, indicating dissatisfaction. The use of the phrase 'getting old' suggests that the content is no longer fresh or appealing. The final phrase 'Peace out' is often used as a casual way to say goodbye, but in this context, it reinforces the idea of leaving due to disinterest or boredom.",14.11,0.02,184,6.41,100,7.67,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses strong positive emotions and appreciation towards Jason. Here's the breakdown of the analysis: 

- Tone Analysis: The tone is friendly, grateful, and enthusiastic throughout the comment.

- Key Phrases or Words: 
  - 'love you and your videos': Expresses affection and admiration for Jason's content.
  - 'gotten me through a lot of tough days of deployment': Indicates that the commenter finds value and comfort in Jason's videos, suggesting a positive impact on their well-being.
  - 'thank you for entertaining me': Shows gratitude for the enjoyment provided by the videos.
  - 'I wish you nothing but more success and growth on your channel': Expresses good wishes and support for Jason's future endeavors.

- Context Consideration: The commenter is in the US army and currently deployed in Iraq, which adds context to their appreciation. They are looking forward to returning home and attending a show, indicating excitement and positivity about the future.",21.27,0.01,331,1.71,248,19.55,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment through the use of phrases like 'trash talks himself' and 'no one is safe.' The tone is critical, suggesting that the subject is not respected or valued. The context implies that the person being referred to has a low opinion of themselves, which contributes to the overall negative sentiment.",7.13,0.01,182,0.34,89,6.78,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"Tone analysis: The comment expresses a sense of disillusionment and skepticism, indicated by phrases like 'I don't even know what's real anymore.' Word choice: The use of the phrase 'paid promotion' suggests that the commenter is aware of and possibly cynical about promotional content. Context consideration: The comment seems to be reacting to a YouTube video or channel that includes paid promotions, which the commenter finds disheartening. Overall, the sentiment leans towards negativity due to the expressed confusion and loss of trust in authenticity.",11.63,0.01,214,0.61,143,11.01,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment 'I am so good' 🤣🤣🤣' conveys a positive emotional tone. The use of the phrase 'so good' indicates self-satisfaction or pride, which is typically associated with positive sentiment. Additionally, the inclusion of laughing emojis (🤣🤣🤣) reinforces the positive and humorous nature of the comment. There is no context provided in the transcript that would suggest otherwise.",8.67,0.01,180,0.34,109,8.32,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong admiration and enthusiasm towards the subject of the video. The use of phrases such as 'hands down the best I've ever seen,' 'it's not even close,' and 'a helluva guy to hang out with!' indicates a highly positive emotional tone. Additionally, the commenter expresses gratitude for the content provided, further emphasizing their positive sentiment. There is no negative language or criticism present in the comment.",9.72,0.01,243,0.88,115,8.83,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment expresses a positive sentiment through the use of the phrase 'nicely done,' which indicates approval or praise. The mention of paying 500 for an advertisement is neutral in tone, as it simply states a fact without any emotional charge. The laughing emoji (😂) at the end also suggests amusement or lightheartedness, further reinforcing the positive sentiment. Overall, the comment conveys a sense of approval and humor.",9.15,0.01,189,0.35,115,8.80,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,The comment expresses a highly positive emotional tone throughout. Key phrases such as 'even better live' and 'definitely the GOAT!!' indicate strong approval and admiration for Jason's performance. The use of exclamation marks further emphasizes the excitement and enthusiasm felt by the commenter.,6.67,0.01,193,0.35,83,6.31,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,The comment expresses a strong positive emotion towards the 'waterfall trick'. The use of words like 'love' and 'impressive' indicates admiration and enjoyment. There is no negative language or context that suggests otherwise.,5.57,0.01,182,0.34,69,5.22,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration and amazement towards the performer's skills. The use of phrases like 'very closely', 'never spot how in the world', and 'mastered it' indicates a high level of engagement and respect for the tricks performed. The overall tone is enthusiastic and complimentary, leading to a positive sentiment classification.",7.66,0.01,221,0.61,92,7.03,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The comment 'This man's CGI machine must be burning  😂' conveys a positive sentiment. The use of the word 'burning' in this context is humorous rather than critical, suggesting that the CGI machine is working very hard or efficiently. The laughing emoji (😂) further emphasizes the humor and positivity of the comment. There is no negative language or criticism present in the comment.",8.50,0.01,183,0.34,107,8.15,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses praise and admiration for the creator's work. The use of phrases like 'another great vid', 'amazing tricks', and 'genius' indicates a positive emotional tone. The mention of the CGI crew being expensive suggests an understanding that high-quality content requires significant resources, which is framed positively. There is no negative language or criticism in the comment.",8.48,0.01,206,0.61,103,7.87,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses a negative sentiment towards Mr. Jason's ability to communicate effectively. The phrase 'talking to the wall' suggests that his efforts are futile and unproductive, as if he is speaking to no one. This implies criticism or mockery of his communication skills. Additionally, the use of 'like there is actually someone standing' emphasizes the absurdity of the situation, further highlighting a negative tone.",8.83,0.01,188,0.35,111,8.48,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment expresses respect and appreciation for including a blooper, which is a humorous or light-hearted mistake. The use of the word 'respect' indicates a positive tone, and the phrase 'leaving in the blooper' suggests that the commenter values this inclusion. There is no context provided from the transcript, but based on the comment alone, it conveys a positive sentiment.",8.27,0.01,179,0.34,104,7.92,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses a highly positive emotional tone throughout, using exclamation marks and emojis to emphasize excitement and admiration. Key phrases such as 'MASTER GOAT' indicate praise and admiration for Jason. The use of heart emojis (❤) and celebration emojis (🎉) further reinforces the positive sentiment. Overall, the comment is enthusiastic and complimentary.",8.65,0.01,218,0.61,105,8.03,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses a positive sentiment towards the subject of the video or another user. The tone is appreciative and supportive, as indicated by the use of phrases like 'I love when' and 'You've certainly earned the right.' These phrases suggest admiration and respect for the person being referred to. There is no negative language or criticism present in the comment.",7.68,0.01,193,0.35,96,7.32,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses a strong positive emotion towards the content of the video, specifically the 'waterfall' and the 'two cards'. The use of the word 'incredible' indicates high praise and admiration. There is no negative language or neutral tone present in the comment.",6.34,0.01,180,0.34,79,5.99,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses a positive emotional tone throughout. Key phrases and words that influenced this decision include: 'really enjoy', 'mind blowing'. The use of the Canadian flag emoji (🇨🇦) and the casual sign-off 'eh' suggest familiarity and friendliness, further reinforcing the positive sentiment. There is no context from a transcript available, but the comment stands alone in conveying appreciation and admiration for the channel.",9.80,0.01,201,0.60,120,9.19,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEUTRAL,"The comment is written in a casual and conversational tone, with phrases like 'aha!mm', 'i figuree it out', and 'payclose attention'. The use of ellipses (...) and the informal language suggest that the author is engaged but not necessarily expressing strong emotions. The key phrase 'i have no idea how he does it' indicates confusion or curiosity rather than a positive or negative sentiment. There is no context provided from a transcript, so the analysis is based solely on the comment itself.",10.82,0.01,241,0.88,129,9.94,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment 'Shuffles legit obviously.' conveys a negative tone. The use of the word 'legit' in this context is often used to express disbelief or skepticism, and when combined with 'obviously,' it suggests that the speaker finds the situation unacceptable or disappointing. The overall emotional tone is one of dissatisfaction or frustration.",7.88,0.01,177,0.34,99,7.54,0,1,8192
