Model,Macro_F1,Positive_F1,Neutral_F1,Negative_F1
DeepSeek-R1:1.5b,0.08695652173913043,0.0,0.2608695652173913,0.0
DeepSeek-R1:7b,0.2133333333333333,0.6399999999999999,0.0,0.0
DeepSeek-R1:8b,0.3063063063063063,0.9189189189189189,0.0,0.0
DistilBERT-sst2,0.2795698924731183,0.8387096774193549,0.0,0.0
Gemma2:2b,0.2795698924731183,0.8387096774193549,0.0,0.0
Gemma2:9b,0.30303030303030304,0.9090909090909091,0.0,0.0
InternLM2:7b,0.3906810035842294,0.8387096774193549,0.3333333333333333,0.0
InternLM2:1.8b,0.15151515151515152,0.45454545454545453,0.0,0.0
Llama3.2:1b,0.15151515151515152,0.45454545454545453,0.0,0.0
Llama3.2:3b,0.30303030303030304,0.9090909090909091,0.0,0.0
Mistral-small:22b,0.3010752688172043,0.9032258064516129,0.0,0.0
Phi-3.5:3.8b,0.4898989898989899,0.9696969696969697,0.5,0.0
Phi4:14b,0.41414141414141414,0.9090909090909091,0.3333333333333333,0.0
Qwen2.5:0.5b,0.3125,0.9375,0.0,0.0
Qwen2.5:1.5b,0.34215167548500885,0.7407407407407407,0.28571428571428575,0.0
Qwen2.5:3b,0.4285714285714286,0.7857142857142858,0.5,0.0
Qwen2.5:7b,0.4000000000000001,0.8000000000000002,0.4,0.0
SmolLM2:135m,0.3063063063063063,0.9189189189189189,0.0,0.0
SmolLM2:360m,0.3063063063063063,0.9189189189189189,0.0,0.0
SmolLM2:1.7b,0.2380952380952381,0.7142857142857143,0.0,0.0
