Comment;(MODUS) Human Annotator;deepseek-r1:1.5b;deepseek-r1:7b;deepseek-r1:8b;DistilBERT - sst2;gemma2:2b;gemma2:9b;internlm2:7b;internlm2:1.8b;llama3.2:1b;llama3.2:3b;mistral-small:22b;phi3.5;phi4;qwen2.5:0.5b;qwen2.5:1.5b;qwen2.5:3b;qwen2.5:7b;smollm2:135m;smollm2:360m;smollm2:1.7b
Hallo 1;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEUTRAL;NEGATIVE;NEGATIVE;NEUTRAL;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE
Hallo 2;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 3;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 4;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 5;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 6;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 7;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;NEUTRAL;NEGATIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE
Hallo 8;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 9;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 10;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
