Comment,smollm2:1.7b - Sentiment,smollm2:1.7b - Reasoning,smollm2:1.7b - Total Duration,smollm2:1.7b - Load Duration,smollm2:1.7b - Prompt Eval Count,smollm2:1.7b - Prompt Eval Duration,smollm2:1.7b - Eval Count,smollm2:1.7b - Eval Duration,smollm2:1.7b - Temperature,smollm2:1.7b - Seed,smollm2:1.7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The sentiment of the YouTube comment is negative due to several factors. The tone of the comment is dismissive and critical, with phrases like 'Leaving' and 'very impressive but getting old.' These words convey a sense of dissatisfaction and disappointment. Additionally, the use of exclamation marks (!) adds emphasis to the negativity of the sentiment.",2.72,0.01,631,1.40,88,1.31,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The YouTube comment expresses gratitude and appreciation for the channel, mentioning that the videos have helped through tough days of deployment. The request is also positive, as it shows enthusiasm for a specific trick with cards. Additionally, the comment includes words like 'thank you,' 'success,' and 'love' which further reinforce the positive sentiment.",1.47,0.01,774,0.15,85,1.30,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The sentiment of the YouTube comment can be classified as NEGATIVE due to several factors. Firstly, the tone of the comment is quite harsh and critical, with phrases like 'truly no one is safe' indicating a strong negative emotion. The use of words such as 'trash talks himself' also suggests that the speaker feels belittled or demeaned by Dr. Elana's actions. Additionally, the context provided in the video transcript further supports this classification, as it shows Dr. Elana making fun of herself and her appearance, which is likely to be perceived negatively by viewers.",2.12,0.01,629,0.04,139,2.08,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The YouTube comment is filled with sarcasm and irony, indicating a negative sentiment towards the video content. The use of phrases like 'I don't even know what's real anymore' suggests that the viewer has become skeptical about the authenticity of the video. Additionally, the mention of ",1.21,0.01,658,0.06,76,1.14,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The YouTube comment is filled with positive emotions and phrases. The user starts by saying, 'all right this one got my attention for $500,' which indicates that they found the video interesting and relevant to their needs. They then continue by saying, 'the request the request how about you learn how toing talk you all right.' This shows enthusiasm and willingness to engage with the topic. The user also says, 'this one got my attention for $500 this request is for Dr Elana a top cosmetic dentist in San Diego,' which implies that they are interested in learning from Dr Elana's expertise. Additionally, the user uses phrases like 'I am so good' and 'hustle,' which convey excitement and energy. The context of the video also supports the positive sentiment as it is about finding a top cosmetic dentist for $500.",3.00,0.01,633,0.04,195,2.95,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The YouTube comment expresses strong enthusiasm and appreciation for the content creator, Dr. Elana. The tone is enthusiastic and positive, with phrases like 'hands down the best I've ever seen' and 'he seems like he'd be a helluva guy to hang out with.' The context of the video also supports this sentiment as it features a top cosmetic dentist in San Diego.",1.53,0.01,685,0.08,96,1.44,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The sentiment of the YouTube comment is negative due to several factors. Firstly, the tone of the comment is sarcastic with a hint of humor, which indicates that the user finds the request for $500 an advertisement amusing and not genuinely helpful. The use of the word 'nice' in conjunction with 'advertisement' further emphasizes this sentiment. Additionally, the mention of paying 500 dollars for an advertisement implies that the user is skeptical about the value provided by Dr Elana's services.",1.87,0.01,635,0.04,122,1.82,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The YouTube comment expresses strong enthusiasm and admiration for Dr. Elana, using words like 'definitely,' 'GOAT,' and 'even better.' The tone is positive and enthusiastic, indicating that the speaker had a great experience with Dr. Elana.",1.10,0.00,640,0.04,71,1.05,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the video, using words like 'love' and 'impressive'. The tone is positive as it shows appreciation for the content. Key phrases that influenced my decision include 'always love the waterfall trick', which indicates a consistent interest in the topic.",1.19,0.01,627,0.04,77,1.14,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The YouTube comment expresses strong admiration for the magician's skills, using phrases like 'I can never spot how in the world' to convey amazement. The use of words such as 'real,' 'mastery,' and '100%' further emphasizes the sentiment that magic is genuine and impressive.",1.30,0.01,667,0.06,82,1.23,0,1,8192
