Comment,deepseek-r1:7b - Sentiment,deepseek-r1:7b - Reasoning,deepseek-r1:7b - Total Duration,deepseek-r1:7b - Load Duration,deepseek-r1:7b - Prompt Eval Count,deepseek-r1:7b - Prompt Eval Duration,deepseek-r1:7b - Eval Count,deepseek-r1:7b - Eval Duration,deepseek-r1:7b - Temperature,deepseek-r1:7b - Seed,deepseek-r1:7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses a mix of positive and negative sentiments towards the video, but overall leans negative. The phrase 'getting old' clearly conveys dissatisfaction with the content or presentation. Additionally, the use of 'Leaving' suggests that the speaker is disengaging from further interaction with the topic presented in the video.",6.59,0.02,592,3.67,87,2.90,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment expresses gratitude towards the YouTuber for their content but also mentions a personal request regarding deployment and returning home. The user is deployed in Iraq, which adds emotional weight to their message. They express appreciation for the videos, mention a desire for more success on the channel, and look forward to returning home. However, the tone is positive as they acknowledge the YouTuber's work and express hope for continued content.",3.85,0.02,735,0.52,102,3.31,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses strong negativity towards Dr. Elana, highlighting her tendency to perform unnecessary and aggressive marketing tactics. The use of the word 'trash talks' indicates a critical and dismissive attitude toward her work, suggesting that her methods are manipulative or unconvincing. Additionally, the phrase 'no one is safe' implies a belief that her practices leave individuals vulnerable, further indicating a negative perception.",3.55,0.01,590,0.13,103,3.40,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment expresses a negative sentiment towards the video's content and marketing tactics. The phrase 'I don't even know what's real anymore' suggests doubt about the authenticity of the promotion, indicating dissatisfaction with the paid advertising aspect. Additionally, the use of emojis like 😅 adds to the casual yet somewhat critical tone. The overall message conveys frustration or skepticism towards the video's claims and methods.",3.69,0.01,617,0.23,103,3.44,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment expresses a positive emotion with the use of emojis and enthusiastic language. The phrase 'I am so good' conveys self-appreciation and satisfaction, indicating a positive sentiment.",2.14,0.01,590,0.14,59,1.99,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The YouTube comment expresses high satisfaction and enthusiasm regarding the video content. The phrase 'hands down the best I've ever seen' clearly conveys approval, while mentioning that the speaker would like to hang out with the dentist further indicates positive sentiment towards both the skills demonstrated and the person involved.",3.02,0.01,646,0.31,81,2.70,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment expresses a negative sentiment towards the ad, indicating dissatisfaction with the service or the cost. The phrase 'she paid 500 for an advertisement' suggests that the viewer found the ad overpriced and not worth the investment, which reflects a critical evaluation of the service provided.",2.81,0.01,596,0.14,80,2.66,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses high satisfaction and admiration for Jason's performance, using words like 'GOAT' which conveys extreme positivity.",1.82,0.01,599,0.14,49,1.67,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses enthusiasm and appreciation for the 'waterfall trick,' which is described as impressive. The use of positive adjectives like 'always love' and 'truly impressive' conveys a positive sentiment towards the skill demonstrated in the video.",2.50,0.01,587,0.13,71,2.36,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,NEGATIVE,"The comment expresses frustration with the explanation of a magic trick, indicating confusion and impatience. The phrase 'I can never spot how in the world' shows doubt about the magician's skills. The use of '100% real' suggests disappointment that the trick is not as impressive as expected.",3.08,0.01,628,0.23,85,2.83,0,1,8192
