Comment,gemma2:9b - Sentiment,gemma2:9b - Reasoning,gemma2:9b - Total Duration,gemma2:9b - Load Duration,gemma2:9b - Prompt Eval Count,gemma2:9b - Prompt Eval Duration,gemma2:9b - Eval Count,gemma2:9b - Eval Duration,gemma2:9b - Temperature,gemma2:9b - Seed,gemma2:9b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses a negative sentiment despite acknowledging the impressiveness of something. Here's why: 

* **Tone Analysis:** The tone is detached and final, indicated by phrases like 'Leaving' and 'Peace out'. These suggest a decision to depart rather than simply expressing dissatisfaction.  
* **Key Phrases:**  'Getting old' implies boredom or weariness with the subject matter, despite initial admiration ('Very impressive'). This suggests a shift from positive to negative sentiment over time.
* **Context Consideration:** Without further context, it's difficult to pinpoint the exact subject. However, the comment structure and phrasing strongly suggest a waning interest or appreciation for something that was once enjoyable.",9.17,0.04,154,3.01,159,6.11,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses overwhelmingly positive sentiment towards Jason and his videos. 

* **Tone analysis:** The tone is enthusiastic, grateful, and appreciative. Words like 'love', 'thank you', 'entertaining', 'success', 'growth', and 'all love' clearly convey a positive emotional state.

* **Key phrases:**  Phrases like 'gotten me through a lot of tough days', 'make my whole week', and 'don't die of boredom out here' highlight the significant impact Jason's videos have had on the commenter's well-being. The request for a specific trick incorporating the dates of his return home further demonstrates genuine excitement and anticipation.

* **Context consideration:**  The commenter is an army soldier deployed in Iraq, suggesting a challenging environment. His appreciation for Jason's videos as a source of entertainment and comfort adds weight to the positive sentiment expressed.",8.64,0.02,300,0.69,205,7.93,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment through its tone and word choice. \n\n* **Tone Analysis:** The phrase 'even trash talks himself' carries a sarcastic and critical undertone, suggesting disapproval of the subject's behavior.  The addition of 'truly no one is safe' further amplifies this negativity, implying a sense of danger or unease. \n\n* **Key Phrases:**  'Trash talks himself' clearly indicates negative self-perception or potentially harmful behavior. 'Truly no one is safe' creates a feeling of apprehension and insecurity. \n\n* **Context Consideration:** While the context is missing, the comment suggests that the subject's actions are perceived as problematic and potentially threatening to others.",6.59,0.02,152,0.15,167,6.42,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment expresses a lighthearted and appreciative tone despite acknowledging skepticism about authenticity in online content.  

Here's a breakdown:

* **Tone Analysis:** The use of emojis like 😅 indicates amusement and a playful approach to the topic. Phrases like 'Welcome to the hustle' and 'you are still the goal' convey admiration and respect.

* **Key Phrases:**  
    * 'Welcome to the hustle, indeed!' - This phrase suggests understanding and acceptance of the competitive nature of online content creation.
    * 'I love how the ",6.18,0.02,181,0.26,148,5.90,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment expresses a feeling of self-satisfaction and amusement.  

* **Tone Analysis:** The phrase 'I am so good' conveys confidence and pride, indicating a positive emotional state. The use of  '🤣🤣🤣' further reinforces this sentiment as it represents laughter and enjoyment.

* **Key Phrases/Words:**  'I am so good' clearly expresses a positive self-perception. The repeated laughing emojis strongly suggest amusement and approval.

* **Context Consideration:** While context from the transcript is missing, the comment's structure and tone suggest it's likely a response to something the commenter finds impressive or enjoyable.",6.02,0.02,149,0.15,151,5.85,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses overwhelmingly positive sentiment towards the YouTuber. 

* **Tone analysis:** The tone is enthusiastic and appreciative. Words like 'best', 'not even close', 'awesome', and 'helluva' convey strong positive feelings.

* **Key phrases:**  Phrases like 'hands down the best I've ever seen', 'It's not even close', and 'awesome content!' clearly indicate a high level of admiration and enjoyment. 

* **Context consideration:** The commenter repeatedly emphasizes their enjoyment of the videos, suggesting they find the content engaging and entertaining.  The statement 'he seems like he'd be a helluva guy to hang out with!' further highlights a positive personal connection and perception of the YouTuber.",7.05,0.02,213,0.35,174,6.67,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment expresses a positive sentiment through its tone and word choice.  

* **Tone analysis:** The use of 'Nicely done' clearly indicates approval and appreciation. The emoji 😂 suggests amusement and lightheartedness, further reinforcing the positive sentiment.
* **Key phrases/words:**  'Nicely done' conveys praise, while '😂' signifies laughter and enjoyment. 
* **Context consideration:** While the context is limited, the comment implies that the subject of the video (likely a creator or advertisement) achieved a successful outcome despite spending $500 on advertising. This suggests a positive view of their efforts.",5.77,0.02,156,0.15,146,5.59,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses overwhelmingly positive sentiment towards Jason's performance.  \n
* **Tone analysis:** The tone is enthusiastic and celebratory. Words like 'even better,' 'definitely,' and 'GOAT' (Greatest Of All Time) all convey strong positive feelings. 

* **Key phrases/words:**  'Even better live,' 'Definitely the GOAT!!' are particularly telling. They indicate a high level of admiration and enjoyment. 

* **Context:** The comment mentions seeing Jason live in Boca Raton, implying a firsthand experience that fueled the positive sentiment. ",5.49,0.02,158,0.15,138,5.32,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses clear admiration and enjoyment.  \""Always love\"" indicates a strong positive sentiment towards the content.  \""Truly impressive\"" further reinforces this, highlighting the commenter's awe and appreciation for the 'waterfall trick'. The overall tone is enthusiastic and complimentary.",3.07,0.02,149,0.15,75,2.90,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses clear admiration and awe towards the YouTuber's magic skills. 

* **Tone analysis:** The tone is enthusiastic and impressed. Words like 'very closely,' 'carefully,' 'mastered,' and '100% real' convey a strong sense of belief and appreciation.

* **Key phrases:**  Phrases like 'I can never spot how in the world you pull these tricks off' and 'you my friend have mastered it!' directly express amazement and acknowledgement of skill. 

* **Context consideration:** While there's no explicit transcript context, the comment is clearly responding to a video showcasing magic tricks. This context reinforces the positive sentiment as the commenter is praising the YouTuber's performance.",6.86,0.03,191,0.26,171,6.58,0,1,8192
