Comment,internlm2:7b - Sentiment,internlm2:7b - Reasoning,internlm2:7b - Total Duration,internlm2:7b - Load Duration,internlm2:7b - Prompt Eval Count,internlm2:7b - Prompt Eval Duration,internlm2:7b - Eval Count,internlm2:7b - Eval Duration,internlm2:7b - Temperature,internlm2:7b - Seed,internlm2:7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment starts with 'Leaving,' which indicates a departure or ending of something, suggesting dissatisfaction or disinterest in the content. The phrase 'Very impressive but getting old' implies that while there may have been some initial positive reaction (impressiveness), it has diminished over time due to age-related reasons such as outdated content or loss of novelty. Finally, 'Peace out,' a casual way to say goodbye often used when ending communication and indicating disengagement from the conversation.",7.15,0.03,628,3.60,118,3.52,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment is overwhelmingly positive, expressing gratitude and appreciation for the content provided by Jason. The user mentions that Jason's videos have helped them through tough days of deployment in Iraq, indicating a strong emotional connection to the creator's work. Additionally, the request made at the end of the message shows enthusiasm about future content, including attending live events when returning home from deployment.",3.34,0.01,770,0.57,91,2.76,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment contains negative language and a sense of aggression. The phrase 'he even trash talks himself' suggests that the person being talked about engages in self-deprecation or negative behavior, which is generally viewed negatively by others. Additionally, the statement 'truly no one is safe' implies a lack of trust or security among those around him, further reinforcing the negative sentiment.",2.99,0.01,625,0.12,96,2.86,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment starts with a playful and enthusiastic tone, indicated by phrases like 'Welcome to the hustle' and an emoji that suggests amusement. The user expresses admiration for how promotions are included in videos ('I love how'), which implies they find it clever or enjoyable rather than annoying. Despite questioning what is real anymore due to paid promotion tags (indicating skepticism), this does not overshadow their overall positive sentiment towards the video and its content.",3.52,0.01,656,0.21,110,3.30,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment's emotional tone is upbeat and confident, as indicated by phrases like 'I am so good' which suggests a positive self-assessment. The use of laughing emojis (🤣🤣🤣) further reinforces the light-hearted and positive nature of the sentiment expressed in this comment.",2.79,0.01,632,0.21,87,2.57,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses admiration and appreciation towards the creator of the videos. The phrases 'best I've ever seen', 'helluva guy to hang out with', and 'thanks for all the awesome content' indicate a positive sentiment. Additionally, there is no indication of any negative emotions or criticisms in the text.",2.77,0.01,680,0.30,82,2.45,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment starts with a compliment, 'Nicely done,' indicating that the user found value in what was presented or achieved by someone. The phrase 'she paid 500 for an advertisement' suggests that there is some level of surprise about how much money was spent on this particular ad, but it does not inherently carry negative sentiment; rather, it implies a significant investment into something perceived as valuable enough to warrant such expenditure. Finally, the use of the laughing emoji (😂) at the end further reinforces that the user found humor or amusement in the situation described.",4.25,0.01,631,0.21,134,4.03,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a highly positive sentiment towards Jason's performance, describing him as 'even better live' and labeling him as the 'GOAT', which stands for Greatest Of All Time. The use of exclamation marks also indicates strong enthusiasm and excitement about his performance.",2.35,0.01,635,0.21,72,2.13,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses admiration and enjoyment of a specific card trick, describing it as 'truly impressive'. The use of words like 'always love' indicates a consistent positive sentiment towards the performer's skill. Additionally, there is no negative language or criticism present in this short excerpt.",2.32,0.01,624,0.12,74,2.19,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the magician's skills, stating 'Magic is 100% real' and that they have 'mastered it'. The tone of the message is appreciative with phrases like 'I can never spot how in the world you pull these tricks off', indicating a positive emotional response to the performance. Additionally, the commenter refers to themselves as friends which adds an element of personal connection.",3.32,0.01,661,0.29,101,3.02,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The comment contains a positive sentiment as indicated by the use of laughter emoji '😂'. The phrase ""This man's CGI machine must be burning"" suggests that the user finds the video entertaining and engaging, which is further supported by their amusement at the idea of the CGI machine being overworked. This indicates an enjoyable experience with a humorous tone.",2.89,0.01,627,0.12,93,2.76,0,1,8192
