Comment,phi3.5 - Sentiment,phi3.5 - Reasoning,phi3.5 - Total Duration,phi3.5 - Load Duration,phi3.5 - Prompt Eval Count,phi3.5 - Prompt Eval Duration,phi3.5 - Eval Count,phi3.5 - Eval Duration,phi3.5 - Temperature,phi3.5 - Seed,phi3.5 - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The sentiment of the comment can be classified as NEGATIVE based on several factors:  🎯 Tone analysis - The overall tone conveyed by this short statement is one of dissatisfaction and finality. Despite acknowledging something being 'very impressive,' which could initially suggest a positive emotion, the use of ",2.97,0.01,192,1.19,98,1.77,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses gratitude and affection, which indicates a positive emotional tone. Here's the detailed analysis:   Tone Analysis - The overall sentiment of the message is warm and appreciative; it starts with 'Hey Jason,' showing familiarity or casualness towards you as if they are addressing someone in person rather than an anonymous commenter, which often suggests a positive interaction. Key Phrases/Words Influencing Decision - The use of phrases such as ",2.74,0.00,345,0.32,129,2.41,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The sentiment of the comment 'He even trash talks himself, truly no one is safe' can be classified as NEGATIVE. Here are the detailed reasons for this classification:   # Tone Analysis The tone conveyed in this statement is clearly negative and critical; it suggests a lack of self-respect or regard from the individual being referred to ('He') which contributes to an overall disapproving sentiment towards their behavior.  # Key Phrases Influence 'trash talks' indicates speaking disrespectfully or inappropriately, while 'truly no one is safe' implies a pervasive and dangerous atmosphere created by such conduct that affects everyone around them negatively. These phrases are derogatory and convey strong disapproval of the subject’s behavior.   # Context Consideration Although there isn't additional context from surrounding comments or transcript, these words alone indicate dissatisfaction with how 'He' interacts within his environment which is assumed to be detrimental based on their choice of language. The use of strong negative adjectives like 'trash talks' and the absolute phrase 'no one is safe' emphasizes a sense of urgency or concern about the impact this behavior has, reinforcing the negativity in tone.   # Overall Analysis Given that there are no positive aspects highlighted within these two sentences nor does it seem to be an objective observation (which would suggest neutrality), and considering only negative connotations present throughout, we can confidently categorize this sentiment as NEGATIVE.",6.56,0.01,191,0.07,352,6.49,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment displays a positive emotional tone with several indicators supporting this classification:  😅 (a wry smile emoji) suggests amusement and light-heartedness, which often correlates with enjoyment or pleasure. The phrase 'I love how the includes paid promotion' indicates that the user appreciates some aspect of what they see on YouTube—possibly a marketing strategy used by content creators to monetize their videos through sponsored tags like ",2.35,0.00,224,0.12,123,2.22,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The sentiment of the provided YouTube comment is positive. Here's a detailed analysis:    - Tone Analysis: The use of laughter emojis (🤣🤣) indicates that the person found something amusing or entertaining, which generally correlates with happiness and enjoyment. There are no indications of anger, sadness, or frustration in their expression.   - Key Phrases/Words: The phrase ",2.31,0.01,196,0.07,124,2.24,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses an overwhelmingly positive sentiment towards someone, likely related to their presence or contributions on YouTube. Here's a detailed analysis:   Tone Analysis - The tone of the comment is enthusiastic and admiring; words like 'best,' 'hands down,' and 'awesome' convey strong approval and high regard for the individual in question. Key Phrases Influencing Decision - Specific phrases such as ",2.35,0.00,252,0.17,120,2.17,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The sentiment of the comment is positive, as indicated by several elements in its analysis: ✅ Tone Analysis - The tone expressed through the use of laughter ('😂') suggests amusement and enjoyment. This emoticon typically conveys a light-hearted or joyful reaction to something funny or pleasing. Key Phrases/Words Influencing Decision: ",2.09,0.00,200,0.07,112,2.02,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The sentiment of the comment provided is positive for several reasons:   #1 Tone analysis - The tone expressed in this YouTube comment is enthusiastic and approving, which indicates a favorable emotional response. This can be deduced from exclamation marks used after phrases like 'live' and 'the GOAT!', both of which are often associated with excitement or high praise.   #2 Key Phrases - The phrase ",2.15,0.00,200,0.07,116,2.08,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The sentiment of the comment is positive. The tone can be discerned from several key phrases and words used in the text: 'Always love' indicates a consistent, enduring affection or enjoyment which conveys strong positivity over time; 'waterfall trick' suggests that there might have been an attempt at performing some sort of stunt involving water. The word choice here is enthusiastic as it describes something impressive and noteworthy ('truly impressive'), implying admiration or awe towards the subject matter, which in this case could be related to someone's skillful execution of a trick with water that resembles an actual waterfall. The use of 'love' denotes deep appreciation while 'impressive' indicates something extraordinary and beyond ordinary expectations has been achieved. There is no indication of negativity or neutrality in the comment, as both words carry strong positive connotations; love implies a profound emotional connection to what was witnessed, whereas impressive suggests that it exceeds normal standards which typically would be met with approval rather than indifference.",4.64,0.00,190,0.07,254,4.56,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The sentiment of the YouTube comment provided can be classified as positive for several reasons. Here's a detailed analysis:   Tone Analysis - The tone expressed in this statement is one of admiration and respect, which conveys enthusiasm rather than negativity or indifference. Key Phrases/Words Influencing Decision - Words such as ",2.06,0.00,230,0.12,107,1.94,0,1,8192
