Comment,deepseek-r1:1.5b - Sentiment,deepseek-r1:1.5b - Reasoning,deepseek-r1:1.5b - Total Duration,deepseek-r1:1.5b - Load Duration,deepseek-r1:1.5b - Prompt Eval Count,deepseek-r1:1.5b - Prompt Eval Duration,deepseek-r1:1.5b - Eval Count,deepseek-r1:1.5b - Eval Duration,deepseek-r1:1.5b - Temperature,deepseek-r1:1.5b - Seed,deepseek-r1:1.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment is negative because it uses words like 'getting old' and 'peace out', which convey sadness or dissatisfaction, while the overall tone seems to be about leaving and expressing positive feelings. The context of the comment doesn't strongly suggest a positive sentiment towards the speaker's behavior or actions.",1.62,0.02,150,0.58,83,1.01,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment is negative because it expresses frustration and disappointment in the speaker's situation, particularly their deployment in Iraq. The use of words like 'dear Jason' and 'I wish you nothing but more success' suggests a lack of hope or appreciation for the speaker's hard work. Additionally, the mention of going to a show when returning adds to the negative sentiment as it implies the speaker is not enjoying the experience anymore.",1.39,0.01,293,0.13,105,1.25,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment uses strong, negative language like 'trash talks' and 'no one is safe.' These words convey a clear sense of frustration and concern for safety. The context suggests the speaker is upset about something related to their safety, which aligns with a negative sentiment towards the content or behavior they're discussing.",1.22,0.01,149,0.04,97,1.17,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment is negative because it uses strong language like 'including paid promotion' and 'still doesn't know what's real.' It also ends with a question mark, which can be seen as uncertain or unsure. The use of exclamation marks adds emphasis, making the sentiment more negative. Additionally, the mention of wanting to ",1.19,0.01,176,0.06,90,1.12,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,"The comment is negative because it uses a sarcastic tone with emojis, which can be perceived as mocking or critical. The phrase 'so good' might imply self-deprecation or lack of effort, which could be seen as negative in context.",0.91,0.01,150,0.04,70,0.86,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,NEGATIVE,"The comment starts with a strong, unflinching statement about how many times I've watched the videos and thought they might have been seen before. The use of words like 'hands down' and 'helluva' conveys extreme frustration and disappointment. The mention of being 'a helluva guy to hang out with!' adds to the negative tone, suggesting that the person feels it's not worth the effort or time. Additionally, the sentiment is influenced by the positive content itself, which may make people feel like they're missing something. However, without specific context from a transcript, it's challenging to fully assess the impact of other factors.",1.90,0.01,205,0.07,153,1.81,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment is negative because it uses a sarcastic tone with 'nicely done' and 'paid 500', which can be interpreted as disrespectful or unprofessional. The use of the word 'she' also makes it seem like she's being treated poorly, which reinforces negativity. Additionally, the lack of context from the transcript suggests that this comment might not be part of a larger discussion about professional behavior on YouTube.",1.40,0.01,155,0.04,110,1.34,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,NEGATIVE,"The comment uses strong language like 'GOAT' and 'definitely' which can be seen as positive, but the context of the user's intent might be negative. The mention of Jason being a 'GOAT' could imply admiration, but the overall tone is more about praise than criticism. Additionally, the use of ",1.16,0.01,156,0.04,90,1.10,0,1,8192
Always love the waterfall trick! Truly impressive,NEGATIVE,"The comment is negative because it uses strong adjectives like 'always' and 'truly' which convey enthusiasm, but the tone feels forced. The word choice is too positive without supporting evidence, making the sentiment seem contradictory. Additionally, the context of a YouTube video might not align with such enthusiasm, leading to an overall negative impression.",1.26,0.01,146,0.04,100,1.20,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,NEGATIVE,"The comment starts with a strong negative statement about someone's ability to perform tricks, which can be seen as critical but not necessarily all-encompassing. The use of phrases like 'I have been watching you very closely' and 'you my friend' suggests a personal attack without clear context. The conclusion that Magic is 100% real is a strong negative statement that could be interpreted as a dismissal or outright criticism, which leans towards negativity. Additionally, the lack of context from the transcript makes it difficult to fully grasp the sentiment, but the overall tone seems to lean towards negativity.",1.86,0.01,187,0.06,151,1.79,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses overly positive language and a strong, unfiltered expression of emotion. The phrase 'burning' is highly subjective and can imply anger or frustration rather than empathy or concern. Additionally, the use of ' CGI machine' adds to the perceived negativity without context from the transcript, making it hard to assess intent.",1.22,0.01,149,0.04,97,1.17,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The comment uses negative language like ' genius is expensive' which conveys dissatisfaction, and the mention of CGI crew being 'half a dozen employees' suggests frustration. The overall tone reflects disappointment in the video's quality or creativity.",1.03,0.01,170,0.06,78,0.96,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment uses strong, negative language that implies frustration and discomfort. Words like 'hardest' and 'discomfort' suggest a lack of support or understanding. The phrase 'like there is actually someone standing' adds to the negativity by implying an inability to function properly. Without context from the transcript, it's challenging to fully grasp the sentiment, but the language leans towards negative emotions.",1.22,0.01,155,0.04,98,1.17,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment 'Respect for leaving in the blooper' is negative because it uses a metaphor that implies disrespect and judgment. The word 'bTranslator' suggests an attempt to manipulate or confuse, which can be seen as negative. Additionally, the phrase 'in the blooper' adds to the confusion and makes the speaker question their own actions, further contributing to a negative sentiment.",1.23,0.01,145,0.04,98,1.18,0,1,8192
