Comment,deepseek-r1:1.5b - Sentiment,deepseek-r1:1.5b - Reasoning,deepseek-r1:1.5b - Total Duration,deepseek-r1:1.5b - Load Duration,deepseek-r1:1.5b - Prompt Eval Count,deepseek-r1:1.5b - Prompt Eval Duration,deepseek-r1:1.5b - Eval Count,deepseek-r1:1.5b - Eval Duration,deepseek-r1:1.5b - Temperature,deepseek-r1:1.5b - Seed,deepseek-r1:1.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment is negative because it uses words like 'Leaving' and 'getting old,' which are not appropriate for a positive sentiment, and the language is overly casual and dismissive of others.",1.87,0.02,592,0.90,72,0.95,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The YouTube comment is negative because it expresses frustration and disappointment with the speaker's military background, which may not align with the content's positive intent. The request for a trick on numbers 6,1,8 seems irrelevant to the video's humor or entertainment value. Additionally, the mention of going back to Iraq and planning a show suggests a desire for a more serious or personal project, which contradicts the intended positive tone of the comment.",1.70,0.01,735,0.13,121,1.56,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment uses strong, negative language like 'trash talks' and 'no one is safe.' These words are highly charged with negativity. The context of the video is about a top cosmetic dentist in San Diego offering a $500 discount to viewers, which seems positive. However, the negative sentiment towards the speaker's behavior contradicts the positive intent behind the offer, creating a conflict that leans towards negativity.",1.53,0.01,590,0.04,115,1.47,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment is negative because it dismisses the reality of the offer and focuses on the humor without providing any information about the actual content or quality of the product or service. The use of phrases like 'I don't even know what's real anymore' and 'you are still the goal' creates a humorous but misleading tone, which can be seen as negative because it undermines the credibility and intent behind the offer.",1.37,0.01,617,0.06,103,1.29,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,The comment is negative because it uses a sarcastic tone and lacks context. The phrase 'I am so good' is meant to be humorous but doesn't convey any positive sentiment about the speaker's ability or expertise in their field.,1.09,0.01,590,0.04,79,1.03,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,NEGATIVE,"The comment is negative because it dismisses the video's quality and praise the speaker without giving any indication of the actual sentiment. The use of phrases like 'hands down' and 'helluva guy' suggests a lack of genuine support for the content, which contradicts the positive intent behind the video.",1.17,0.01,646,0.08,83,1.08,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment is negative because it's dismissive of the speaker's expertise, uses a sarcastic tone, and doesn't provide context about the speaker's credentials or the quality of their work. The phrase 'nicely done' suggests that the speaker is not impressed by the video's quality, which contradicts the positive intent behind the comment.",1.36,0.01,596,0.04,101,1.30,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,NEGATIVE,"The comment is negative because it's dismissive of others' opinions and uses hyperbole to make a statement about Jason being the GOAT, which is not supported by evidence or context provided.",1.00,0.01,599,0.04,71,0.95,0,1,8192
Always love the waterfall trick! Truly impressive,NEGATIVE,"The comment is negative because it uses a strong, unflattering comparison of 500 bucks to San Diego's top cosmetic dentist. The word 'top' and the phrase 'only one place to go' make the sentiment seem dismissive or unprofessional. Additionally, the use of 'seems like I'm advertising pull a queen and an ace together from the waterfall' is overly dramatic and conveys frustration rather than positivity.",1.31,0.01,587,0.04,103,1.26,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,NEGATIVE,"The comment starts with a strong statement about being closely watching and never spotting the trick, which suggests frustration or disappointment. The use of words like 'Magic' and 'real' can be seen as critical acclaim, implying that the speaker believes Magic is genuine. However, the mention of 'I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off' creates a sense of frustration or confusion about the authenticity of Magic. The conclusion with 'I have decided that Magic is 100% real and you my friend have mastered it!' implies a belief in the truth, which may not align with the negative sentiment towards Magic as a product.",1.99,0.01,628,0.06,156,1.91,0,1,8192
