Comment;Human Annotator;DeepSeek-R1:1.5b;DeepSeek-R1:7b;DeepSeek-R1:8b;DistilBERT-sst2;Gemma2:2b;Gemma2:9b;InternLM2:7b;InternLM2:1.8b;Llama3.2:1b;Llama3.2:3b;Mistral-small:22b;Phi-3.5:3.8b;Phi4:14b;Qwen2.5:0.5b;Qwen2.5:1.5b;Qwen2.5:3b;Qwen2.5:7b;SmolLM2:135m;SmolLM2:360m;SmolLM2:1.7b
Hallo 1;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEUTRAL;NEGATIVE;NEGATIVE;NEUTRAL;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE
Hallo 2;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 3;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 4;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 5;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 6;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 7;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;NEUTRAL;NEGATIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE
Hallo 8;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 9;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 10;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
