Comment,internlm2:1.8b - Sentiment,internlm2:1.8b - Reasoning,internlm2:1.8b - Total Duration,internlm2:1.8b - Load Duration,internlm2:1.8b - Prompt Eval Count,internlm2:1.8b - Prompt Eval Duration,internlm2:1.8b - Eval Count,internlm2:1.8b - Eval Duration,internlm2:1.8b - Temperature,internlm2:1.8b - Seed,internlm2:1.8b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment contains negative language, such as 'Leaving.' and 'Very impressive but getting old,' which indicates a negative sentiment towards the content or the artist's performance. The phrase 'Peace out' further emphasizes this negative sentiment, suggesting that the viewer is dissatisfied with the content.",1.33,0.02,177,0.64,78,0.67,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment contains negative language and requests for specific actions, which indicates a negative sentiment. The mention of the US army and deployment in Iraq further emphasizes this sentiment. Key phrases such as ""my whole week"" and ""I plan on going to a show when I get back this summer"" suggest that the user is seeking positive outcomes from their videos or interactions with Jason. However, the request for specific actions (tricks) in the comment is negative, indicating that the sentiment of the comment is negative.",1.21,0.01,319,0.13,120,1.07,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment contains negative language and a critical tone. The phrase ""he even trash talks himself"" suggests that the person making the comment is not taking responsibility for their actions, which can be perceived as a negative sentiment. Additionally, the use of the word ""truly"" implies that there might be more to the story than what is being presented, further contributing to the negative sentiment.",0.86,0.01,174,0.03,95,0.82,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEUTRAL,"The comment contains a mix of positive and negative sentiments. The use of 'hustle' suggests an energetic or active lifestyle, which can be seen as positive. However, the mention of 'includes paid promotion' indicates skepticism about the authenticity of the content being promoted. This creates a neutral sentiment overall.",0.77,0.01,205,0.05,81,0.71,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,"The comment contains negative language and a lack of enthusiasm or positive sentiment. The phrase ""so good"" is repeated, which indicates a general dissatisfaction with the content being discussed.",0.51,0.01,181,0.04,54,0.47,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses a positive sentiment towards the YouTube user and their content. The use of words like ""hands down"" and ""awesome"" indicates that the user is highly appreciated and has a positive impact on the viewer's experience. Additionally, phrases like ""he seems like he'd be a helluva guy to hang out with!"" further emphasize the positive sentiment towards the YouTube user and their content.",0.96,0.01,229,0.07,99,0.88,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment contains negative language, such as 'nicely done' and 'she paid 500 for an advertisement'. This indicates a negative sentiment towards the content or action described in the comment. The use of '😂' further emphasizes the negative tone, suggesting that the commenter finds something amusing or noteworthy.",0.79,0.01,180,0.03,85,0.75,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment starts with a positive sentiment by stating that the person saw Jason live in Boca Raton and finding him to be even better. This indicates a favorable view of the subject, which is a positive sentiment.",0.57,0.01,184,0.04,61,0.53,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment contains positive language and a strong emphasis on the quality of the waterfall trick. The use of 'always' suggests a consistent appreciation, which is a positive sentiment. Key phrases such as 'truly impressive' further emphasize the positive nature of the comment.",0.66,0.01,173,0.03,71,0.61,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,NEGATIVE,"The comment contains negative language, such as ""never spot"", which indicates a lack of confidence or understanding in the abilities of the person making the comments. The phrase ""after careful analysis"" further emphasizes this sentiment, suggesting that the speaker has considered and found fault in the subject's performance. This context suggests that the speaker is not satisfied with the subject's ability to perform tricks, leading to a negative sentiment towards the subject.",0.97,0.01,210,0.06,104,0.91,0,1,8192
