Comment,qwen2.5:1.5b - Sentiment,qwen2.5:1.5b - Reasoning,qwen2.5:1.5b - Total Duration,qwen2.5:1.5b - Load Duration,qwen2.5:1.5b - Prompt Eval Count,qwen2.5:1.5b - Prompt Eval Duration,qwen2.5:1.5b - Eval Count,qwen2.5:1.5b - Eval Duration,qwen2.5:1.5b - Temperature,qwen2.5:1.5b - Seed,qwen2.5:1.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses disappointment and a sense of aging, which are negative sentiments. The key phrases 'Very impressive' and 'getting old' indicate positive aspects that were overshadowed by the overall sentiment. The use of 'Peace out' is typically associated with farewell or goodbye, adding to the negative connotation.",1.48,0.03,186,0.57,79,0.88,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses gratitude and appreciation for Jason's videos, indicating a positive sentiment. The user mentions being in the US Army and currently deployed in Iraq, but this does not seem to negatively impact their overall tone or message. They thank Jason for entertaining them during tough times of deployment, which is a clear expression of positivity. The request for a trick with the numbers 6, 1, and 8 shows enthusiasm and excitement about the videos, further reinforcing the positive sentiment. The user also wishes Jason more success and growth on his channel, indicating continued support and interest in his content. Finally, they express hope that Jason will post dates of future shows when he returns home, showing a desire for continuity and engagement with their favorite content creator. Overall, the comment is filled with positivity and goodwill towards Jason.",2.19,0.01,329,0.15,179,2.02,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment towards someone who is being criticized. The key phrases 'trash talks' and 'truly no one is safe' indicate criticism and imply that the person being criticized has nothing to lose, which is generally seen as an attack on their character or abilities. The overall tone of the comment is critical and dismissive.",1.01,0.01,184,0.04,86,0.96,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment expresses enthusiasm and appreciation for a feature that is described as 'welcome' and 'real'. The use of emojis like 😅 indicates a light-hearted, positive tone. Key phrases such as 'I love how the ",0.85,0.01,211,0.06,65,0.78,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment expresses enthusiasm and satisfaction with a positive tone. The use of 'so good' indicates high approval or satisfaction, which is typically associated with a positive sentiment. The laughing emojis (🤣) further reinforce the positive emotion by showing amusement or agreement with the speaker's statement. There are no negative words or phrases present in the comment.",1.00,0.01,184,0.04,85,0.94,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong positive sentiment towards the video creator, using phrases such as 'hands down the best' and 'awesome content'. The commenter also shows enthusiasm by mentioning they would like to hang out with the creator. There are no negative or neutral words used in the comment.",0.91,0.01,240,0.07,73,0.82,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEUTRAL,"The comment is neutral because it does not express strong positive or negative emotions. The use of 'Nicely done' suggests approval, but the context implies a lighthearted tone due to the inclusion of '😂'. This indicates that while there's an underlying compliment, the overall sentiment leans towards neutrality.",0.96,0.01,190,0.04,81,0.91,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses strong positive sentiment towards Jason, using phrases like 'even better live' and calling him the 'GOAT'. The enthusiasm and admiration are clear indicators of a positive opinion. There are no negative or neutral words used in this comment.",0.80,0.01,193,0.04,67,0.75,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses strong positive sentiment towards a waterfall trick. The use of 'always' indicates consistency in enjoyment, and 'truly impressive' is an unambiguously positive statement. Key phrases like 'love' and 'impressive' further reinforce the positive tone.",0.87,0.01,181,0.04,73,0.82,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the person's abilities, particularly their ability to perform magic tricks. The use of phrases like 'I can never spot' indicates a high level of skill and surprise at how well they do it. The statement 'Magic is 100% real and you my friend have mastered it!' directly acknowledges that the magic is real and praises the person's mastery, which are clearly positive sentiments.",1.21,0.01,222,0.06,101,1.14,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The comment expresses frustration and sarcasm. The use of 'burning' in a negative context suggests disappointment or dissatisfaction with the quality of the CGI work, which is implied to be poor. The exclamation mark indicates strong emotion. Key phrases include 'This man's CGI machine must be burning', implying that the CGI is not up to par.",1.02,0.01,184,0.04,87,0.97,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEUTRAL,"The comment expresses admiration for the video and the creator's skills, but does not contain strong positive or negative sentiment. The use of 'Genius' suggests a high opinion without necessarily implying it's expensive. The phrase 'CGI crew must be up to half a dozen employees' implies that the quality is impressive enough to justify such a large team, which could be seen as either positive (if they're doing something worth paying for) or neutral (if it just means they have a lot of people working on it). Overall, the comment leans towards being neutral due to its balanced tone and lack of strong emotional language.",1.67,0.01,205,0.06,143,1.60,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration and criticism towards Mr. Jason, using phrases such as 'talking to the wall' which implies that he is not engaging with others effectively or meaningfully. The overall tone is negative, criticizing his communication style rather than complimenting it.",0.84,0.01,190,0.04,70,0.79,0,1,8192
Respect for leaving in the blooper,NEUTRAL,"The comment does not express strong positive or negative emotions. The phrase 'Respect' is neutral, but it's used in a context that could be interpreted as either positive (for respecting someone) or negative (for leaving behind mistakes). The word 'blooper' suggests the person was joking about something they didn't do well, which doesn't indicate any strong sentiment either way. Without more context, this comment leans towards being neutral.",1.24,0.01,181,0.04,106,1.19,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses enthusiasm and admiration for the person being addressed, using phrases like 'Leap out of the deck', 'cgi machines ready', 'MASTER GOAT', and 'Greetz Spiecull'. The use of emojis and exclamation marks also indicates excitement. There are no negative or neutral words used in the comment.",1.01,0.01,216,0.06,83,0.94,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment expresses a negative sentiment towards arrogance, which is not typically associated with positive qualities. The commenter seems to be criticizing someone for being proud or self-important in their field of expertise. Key phrases like 'arrogant' and the implication that this person has 'earned the right' suggest disappointment rather than admiration.",0.97,0.01,193,0.04,81,0.91,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses strong admiration and appreciation for the waterfall, using positive language such as 'absolutely incredible'. The use of capital letters in 'ABSOLUTELY' emphasizes enthusiasm. There are no negative or neutral words present, indicating a purely positive sentiment.",0.83,0.01,181,0.04,69,0.77,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment and admiration for the channel's content, specifically mentioning 'mind blowing' which is a positive descriptor. The use of 'Take care eh ✌️🇨🇦' indicates a friendly and appreciative tone towards the creator or community. There are no negative words or phrases present in the comment.",0.94,0.01,195,0.04,80,0.89,0,1,8192
