Comment,smollm2:135m - Sentiment,smollm2:135m - Reasoning,smollm2:135m - Total Duration,smollm2:135m - Load Duration,smollm2:135m - Prompt Eval Count,smollm2:135m - Prompt Eval Duration,smollm2:135m - Eval Count,smollm2:135m - Eval Duration,smollm2:135m - Temperature,smollm2:135m - Seed,smollm2:135m - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is predominantly positive.",0.38,0.01,167,0.18,40,0.20,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive. The comment expresses admiration for Jason's videos while also expressing gratitude towards him for entertaining me during deployment. Additionally, the comment mentions a request for a trick to help with my upcoming return date, which further supports the sentiment of positivity.",0.49,0.01,310,0.02,86,0.46,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it contains a mix of positive and negative sentiments. The sentiment is predominantly positive, with a focus on the speaker's words being used to express their feelings about themselves.",0.36,0.01,165,0.01,68,0.34,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is predominantly positive.",0.24,0.01,195,0.01,41,0.22,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is expressing a positive sentiment. The text mentions that the user enjoyed their meal, which suggests they are generally satisfied with their experience.",0.33,0.01,170,0.01,62,0.32,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"Analyzing the comment reveals that it is overwhelmingly positive, indicating that the person found the videos highly engaging and enjoyable. The sentiment is also consistent with the overall tone of the comments, which are generally positive and supportive.",0.35,0.00,222,0.01,63,0.33,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the user is expressing a positive sentiment towards the advertisement. The text mentions that the user paid $500 for an advertisement, which suggests that the user values the product highly.",0.38,0.01,171,0.01,71,0.36,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive.",0.22,0.01,175,0.01,40,0.20,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive. The comment contains a mix of positive and negative words such as 'always love', 'truly impressive', and 'waterfall trick'. Key phrases or words included: 'Always love' (positive), 'Truely impressive' (POSITIVE), 'Waterfall trick' (NEGATIVE) - This indicates that the comment is praising the waterfall trick. The context of the comment includes a video showing a waterfall, which suggests that the comment may be discussing this particular technique.",0.70,0.01,163,0.01,137,0.69,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals a positive sentiment. The comment highlights the fact that the person is watching you closely and can't help but notice your tricks.",0.32,0.01,204,0.01,59,0.30,0,1,8192
