Comment,internlm2:7b - Sentiment,internlm2:7b - Reasoning,internlm2:7b - Total Duration,internlm2:7b - Load Duration,internlm2:7b - Prompt Eval Count,internlm2:7b - Prompt Eval Duration,internlm2:7b - Eval Count,internlm2:7b - Eval Duration,internlm2:7b - Temperature,internlm2:7b - Seed,internlm2:7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The comment starts with 'Very impressive', which indicates a positive sentiment towards the content of the video or YouTube channel. The phrase 'getting old' could be interpreted as negative, but in this context, it seems to imply that while the content is still good and impressive, there might not have been much new material recently (which doesn't necessarily reflect poorly on the creator). Finally, ending with 'Peace out.' suggests a casual and positive closing. Overall, despite any potential negativity about frequency of updates or freshness in content, the overall sentiment leans towards positivity.",7.65,0.03,637,3.62,134,4.00,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment is overwhelmingly positive. The user expresses gratitude for the content, specifically mentioning that it has helped get through tough days of deployment in Iraq. They also request a specific trick to be performed on their behalf and express excitement about attending shows when they return home. There are no negative phrases or complaints present within this message.",3.06,0.01,779,0.57,82,2.48,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment contains negative language and a sense of aggression. The phrase 'he even trash talks himself' suggests that the person being talked about engages in self-deprecation, which is generally viewed negatively. Additionally, the statement 'truly no one is safe' implies a lack of trust or security among those around him, further reinforcing the negative sentiment.",2.83,0.01,634,0.12,91,2.69,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment starts with a playful and enthusiastic tone, indicated by phrases like 'Welcome to the hustle' and an emoji that suggests amusement. The user expresses admiration for how promotions are included in videos ('I love how'), which implies they find it engaging or entertaining rather than intrusive. Despite questioning what is real anymore due to paid promotion tags (indicating a slight skepticism), their overall sentiment remains positive as the comment ends with 'But you are still the goal,' suggesting that despite any doubts, the user values and appreciates whatever content creator does.",4.16,0.01,665,0.21,131,3.93,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment's emotional tone is overwhelmingly positive, as indicated by the repeated use of laughter emojis (🤣) and the phrase 'I am so good.' The context suggests that the user is expressing satisfaction or pride in their ability to perform a task related to card tricks. Additionally, they mention earning $500 for this performance, which further reinforces the positive sentiment as it implies success and financial reward.",3.25,0.01,641,0.21,102,3.03,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,The comment expresses strong admiration and appreciation towards the creator of the videos. Phrases like 'best I've ever seen' and 'helluva guy to hang out with' indicate a highly positive sentiment. The use of exclamation marks also emphasizes excitement and enthusiasm about the content being shared.,2.63,0.01,689,0.30,78,2.32,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment starts with a compliment, 'Nicely done,' indicating that the user found value in what was created or said by someone else. The use of an emoji (😂) suggests amusement and light-heartedness rather than negativity towards the content being discussed. Additionally, there is no indication of any negative emotions such as anger, frustration, or disappointment within this comment.",3.07,0.01,640,0.21,96,2.85,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a highly positive sentiment towards the subject, which appears to be Jason's performance in Boca Raton. The use of phrases like 'even better live' and 'GOAT' (Greatest Of All Time) indicate that the reviewer had an exceptional experience with Jason's performance. These expressions are typically associated with strong approval or admiration for someone’s skills, indicating a positive sentiment.",3.16,0.01,644,0.21,99,2.94,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses a positive sentiment towards the YouTube video. The tone is enthusiastic and appreciative, as indicated by phrases like 'Always love' and 'Truly impressive'. These expressions suggest that the viewer finds value in the content of the video, particularly highlighting their enjoyment of the waterfall trick performed within it.",2.50,0.01,633,0.12,80,2.37,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the magician's skills, stating 'Magic is 100% real' and that the performer has 'mastered it'. The tone of the message is appreciative with phrases like 'I have been watching you very closely', indicating a positive emotional response. Additionally, the use of words such as 'friend' further emphasizes a warm and supportive sentiment.",3.15,0.01,670,0.29,95,2.85,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The comment contains a negative tone and implies that the person is not satisfied with the quality of work done by this man. The use of 'must be burning' suggests frustration or disappointment, while the 😂 emoji might indicate sarcasm but does not change the overall negative sentiment.",2.44,0.01,636,0.12,78,2.31,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses admiration and appreciation for the video, describing it as 'another great vid' and praising the CGI crew's capabilities. The phrase 'Genius is expensive' suggests that while acknowledging the high cost associated with such talent, there remains a positive sentiment towards the quality of work presented in the video.",2.66,0.01,657,0.21,82,2.44,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"The comment's emotional tone appears positive, as it suggests that despite a challenging task (talking to an inanimate object), Mr. Jason is able to do so with ease and humor ('like there is actually someone standing'). The use of the word 'hardest' implies difficulty but does not detract from the overall upbeat sentiment conveyed by his ability to engage with the wall as if it were a person.",3.26,0.01,640,0.21,102,3.04,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment 'Respect for leaving in the blooper' indicates a positive sentiment. The use of the word 'respect' suggests admiration or appreciation, and it is directed towards something that has been left intentionally ('leaving in the blooper'). This implies that the person appreciates this aspect as part of what makes the video enjoyable or unique.",2.75,0.01,631,0.12,88,2.62,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment exhibits a highly positive sentiment, characterized by enthusiastic language and emoticons that convey excitement and approval. Phrases such as 'Master Goat' and the use of multiple hearts emojis (❤) indicate admiration for Jason's work on the YouTube video. The exclamation marks (!!) in phrases like 'Leap out of the deck??!! 😂' further emphasize a sense of excitement or surprise at how well the CGI effects were executed, which is likely to be positive feedback from viewers who appreciate such technical skill and creativity.",4.24,0.01,685,0.30,131,3.93,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses admiration for Dr Elana's skill and confidence, indicating a positive sentiment towards her work as a cosmetic dentist. The phrase 'I love when someone who is the best at something is arrogant' suggests that the speaker appreciates Dr Elana's self-assurance in her expertise. Additionally, the statement 'You've certainly earned the right.' reinforces this admiration by acknowledging her achievements and justifying her confidence.",3.34,0.01,643,0.21,105,3.12,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment 'Waterfall with two cards. Absolutely incredible!' indicates a highly positive sentiment towards the YouTube video content, specifically highlighting an impressive visual effect (waterfall) achieved through CGI techniques and involving two specific playing card elements (Ace and Queen). The use of words like 'absolutely incredible' further emphasizes the viewer's admiration for this particular scene. This comment suggests that viewers are impressed by both the technical skill involved in creating such a visually stunning effect, as well as its execution within the context of the video.",3.86,0.01,631,0.12,125,3.73,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment and admiration for the channel's content, specifically mentioning 'mind-blowing' card manipulation skills. The use of a friendly sign-off with a thumbs-up emoji further reinforces positive sentiment.",2.02,0.01,650,0.21,61,1.80,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEUTRAL,"The comment appears to be a neutral observation rather than an expression of strong emotion. The user is describing their attempt at replicating a trick from the video, but they admit that they do not understand how it's done. There are no explicit positive or negative emotions expressed in this statement; instead, there's curiosity and confusion.",2.82,0.01,692,0.30,84,2.51,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' reflects a positive sentiment. The use of the word 'legit' suggests that the speaker believes in the authenticity and effectiveness of whatever is being discussed, which likely pertains to Dr Elana's cosmetic dentistry services mentioned earlier in the video transcript context. Additionally, the phrase 'obviously' indicates confidence or certainty about this belief.",2.94,0.01,629,0.12,94,2.81,0,1,8192
