Comment,gemma2:9b - Sentiment,gemma2:9b - Reasoning,gemma2:9b - Total Duration,gemma2:9b - Load Duration,gemma2:9b - Prompt Eval Count,gemma2:9b - Prompt Eval Duration,gemma2:9b - Eval Count,gemma2:9b - Eval Duration,gemma2:9b - Temperature,gemma2:9b - Seed,gemma2:9b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses a negative sentiment despite acknowledging the impressiveness of something. Here's why: 

* **Tone Analysis:** The tone is somewhat detached and final. Phrases like 'Leaving' and 'Peace out' suggest a decision to depart, implying dissatisfaction.  
* **Key Phrases:**  'Getting old' indicates a sense of weariness or boredom, suggesting the commenter finds the subject matter repetitive or stale. 
* **Context Consideration:** While we lack context from a transcript, the comment implies a repeated experience that has lost its appeal for the commenter. The initial 'Very impressive' could be a reluctant acknowledgement rather than genuine enthusiasm.",8.50,0.05,162,2.69,150,5.76,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses overwhelmingly positive sentiment towards Jason and his videos. 

* **Tone analysis:** The tone is enthusiastic, grateful, and appreciative. Words like 'love', 'thank you', 'make my whole week', 'nothing but more success', and 'all love' clearly convey positivity.

* **Key phrases:**  Phrases like 'gotten me through a lot of tough days', 'entertaining me', and 'don't die of boredom out here' highlight the significant positive impact Jason's videos have had on the commenter. The request for a specific trick tied to his return date further demonstrates excitement and anticipation.

* **Context:**  The commenter is a deployed soldier in Iraq, adding a layer of context that makes their appreciation even more poignant. Their desire for entertainment and connection during a difficult time underscores the value Jason's content brings.",8.40,0.02,309,0.70,199,7.68,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment through its sarcastic and cynical tone. \n
* **Tone analysis:** The phrase 'trash talks himself' implies self-deprecation taken to an extreme, suggesting a lack of confidence or even self-awareness.  The addition of 'truly no one is safe' further amplifies the negativity by implying that this behavior is pervasive and potentially harmful. 

* **Key phrases/words:** 'Trash talks himself,' 'truly no one is safe' convey a sense of negativity, sarcasm, and potential danger.

* **Context consideration:** While context from the transcript is missing, the comment suggests a situation where someone is engaging in self-deprecating humor that might be perceived as excessive or even concerning by others.",6.77,0.02,161,0.15,172,6.60,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment expresses a positive sentiment despite acknowledging some skepticism. 

* **Tone analysis:** The tone is lighthearted and playful, indicated by the use of emojis like 😅. There's a sense of amusement rather than genuine negativity.

* **Key phrases/words:**  Phrases like 'Welcome to the hustle,' 'I love how...' and 'you are still the goal' convey admiration and support. Even the phrase 'I don't even know what's real anymore' is said with a hint of irony, suggesting the commenter understands the nature of online content creation.

* **Context consideration:** While the comment mentions paid promotion, it doesn't express outright disapproval or distrust. Instead, it acknowledges the reality of influencer marketing while still affirming admiration for the creator.",7.38,0.02,189,0.26,185,7.10,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment expresses a positive sentiment through its tone and word choice.  

* **Tone Analysis:** The phrase 'I am so good' conveys a sense of self-satisfaction and pride, indicating a positive emotional state. The use of  '🤣🤣🤣' further reinforces this positivity by suggesting laughter and amusement.

* **Key Phrases/Words:**  'I am so good' clearly expresses a positive feeling about oneself. The repeated laughing emojis (🤣🤣🤣) also contribute to the overall positive sentiment.

* **Context Consideration:** While context from a transcript would be helpful, the comment itself is self-contained and clearly conveys a positive sentiment.",6.04,0.02,157,0.15,153,5.86,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses overwhelmingly positive sentiment towards the YouTuber. 

* **Tone analysis:** The tone is enthusiastic and appreciative. Words like 'best I've ever seen', 'not even close', 'awesome content', and 'helluva guy' all convey strong positive feelings.

* **Key phrases:**  Phrases like 'hands down the best', 'not even close', and 'awesome content' clearly indicate a high level of admiration and enjoyment. 

* **Context consideration:** The commenter repeatedly emphasizes their enjoyment of the videos, suggesting they find the content highly engaging and entertaining. The statement about wanting to hang out with the YouTuber further highlights the positive sentiment and personal connection formed through the content.",6.73,0.02,221,0.35,166,6.36,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment expresses a negative sentiment despite using the phrase 'nicely done'. Here's why: 

* **Tone Analysis:** The tone is sarcastic and mocking. The use of the laughing emoji 😂 after stating that someone paid $500 for an advertisement strongly suggests disapproval and ridicule.
* **Key Phrases/Words:**  'paid 500 for an advertisement' implies a sense of being overpriced or foolish. The laughing emoji further emphasizes this negative connotation.
* **Context Consideration:** While we don't have the full transcript, the context likely involves someone promoting something (perhaps a product or service) and spending a significant amount on advertising. The commenter seems to find this wasteful or unnecessary, leading to their sarcastic remark.",6.66,0.02,165,0.15,169,6.48,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses overwhelmingly positive sentiment towards Jason's performance.  \n
* **Tone analysis:** The tone is enthusiastic and excited. Words like 'even better,' 'definitely,' and 'GOAT' all convey strong positive feelings. 

* **Key phrases/words:**  'even better live,' 'definitely the GOAT' are particularly telling.  'Even better live' suggests a high level of satisfaction and admiration for Jason's performance compared to recordings. 'GOAT' (Greatest Of All Time) is a highly charged term used to express ultimate respect and appreciation. 

* **Context:** While context from a transcript isn't provided, the comment clearly indicates a positive experience at a live concert.",6.62,0.02,166,0.15,167,6.44,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses clear admiration and enjoyment.  

* **Tone Analysis:** The tone is enthusiastic and appreciative. Words like 'love' and 'impressive' convey a strong positive sentiment.
* **Key Phrases:**  'Always love the waterfall trick!' and 'Truly impressive' are direct expressions of positivity and amazement.
* **Context:** While context from a transcript is unavailable, the comment structure suggests a response to a video showcasing a 'waterfall trick', likely a visual or performance-based feat. The commenter finds this trick enjoyable and skillful.",5.28,0.03,158,0.15,132,5.10,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses strong admiration and belief in the YouTuber's abilities. 

* **Tone analysis:** The tone is enthusiastic and awestruck. Words like 'very closely,' 'carefully,' 'mastered,' and '100% real' convey a sense of genuine amazement and conviction.

* **Key phrases:**  Phrases like 'I can never spot how in the world you pull these tricks off' and 'Magic is 100% real and you my friend have mastered it!' clearly indicate a positive sentiment. The commenter believes the magic is real and the YouTuber is exceptionally skilled.

* **Context consideration:** While context from the transcript isn't provided, the comment's focus on the tricks and the YouTuber's mastery suggests a video about magic or illusions.",7.39,0.02,199,0.26,185,7.11,0,1,8192
