Comment,deepseek-r1:8b - Sentiment,deepseek-r1:8b - Reasoning,deepseek-r1:8b - Total Duration,deepseek-r1:8b - Load Duration,deepseek-r1:8b - Prompt Eval Count,deepseek-r1:8b - Prompt Eval Duration,deepseek-r1:8b - Eval Count,deepseek-r1:8b - Eval Duration,deepseek-r1:8b - Temperature,deepseek-r1:8b - Seed,deepseek-r1:8b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The comment begins with 'Leaving,' which suggests the user is departing, possibly from a community or group. However, the second part says 'Very impressed' indicating positive sentiment towards something they've seen or experienced. The phrase 'getting old' could imply that the content is becoming repetitive or outdated, but it's not strongly negative. Overall, the comment has a mix of positive and neutral tones, leaning slightly positive due to the initial approval.",7.92,0.04,593,4.11,111,3.77,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment starts with 'Hey Jason, love you and your videos' indicating a positive tone. The user expresses gratitude for entertainment during deployment, which is heartfelt. They also make a specific request but it's presented in a friendly manner. Words like 'love,' 'thank you,' and 'I wish you nothing but more success' are key phrases that convey positivity. Additionally, the user mentions planning to attend a show upon return, showing enthusiasm and intent to engage further. Overall, the sentiment is positive due to the combination of appreciation, requests, and hopeful future engagement.",5.31,0.01,735,0.56,137,4.74,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"The comment 'He even trash talks himself truly no one is safe' suggests a positive tone. The phrase 'trash talks himself' implies confidence and self-assuredness, which are often associated with positivity. Additionally, the statement highlights his skill or ability, indicating admiration from the speaker. There's no negative language used here; instead, it reflects pride in his actions or qualities.",3.47,0.01,591,0.14,98,3.32,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment starts with 'Welcome to the hustle, indeed!' which conveys a positive and enthusiastic tone. The use of emojis like 😅 adds to the lightheartedness. The phrase 'you are still the goal' suggests admiration or respect for the person, indicating a positive sentiment.",3.06,0.01,618,0.24,82,2.80,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment uses an emoji and the phrase 'I am so good' which conveys a positive tone. The emojis add to the lightheartedness, suggesting humor or self-deprecation, both of which are positive sentiments.",2.47,0.01,595,0.14,68,2.31,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong admiration and appreciation, highlighting the speaker's skill and enjoyment of the content. Words like 'best ever,' 'hands down,' and 'awesome' convey enthusiasm and satisfaction. The mention of wanting to hang out with him suggests a positive personal connection. Overall, this is a very positive sentiment.",3.23,0.01,647,0.34,84,2.87,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment mentions 'she paid $500 for an advertisement' which implies that the person is mocking or criticizing the dentist for spending money on advertising, suggesting a negative view. The use of emojis like 😂 adds to the sarcastic tone.",2.55,0.01,595,0.14,70,2.40,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment uses an exclamation mark and calls Jason 'the GOAT,' which stands for Greatest Of All, indicating a very positive sentiment towards him. The word 'definitely' also adds to the confidence in this statement.",2.44,0.01,600,0.14,67,2.28,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment 'Always love the waterfall trick! Truly impressive' uses exclamation marks and positive adjectives like 'love,' 'truly impressive.' These indicate a strong positive sentiment. The mention of a specific trick (waterfall) suggests engagement with the content, further reinforcing positivity.",2.85,0.01,588,0.14,79,2.70,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment begins with 'I have been watching you very closely' which indicates admiration and attention, suggesting a positive tone. The phrase 'do these tricks and I can never spot how in the world you pull these tricks off' shows amazement and respect, further contributing to a positive sentiment. Finally, stating that magic is 100% real and expressing admiration for the friend's mastery reinforces a strong positive tone.",3.84,0.01,627,0.25,105,3.58,0,1,8192
