Comment,qwen2.5:0.5b - Sentiment,qwen2.5:0.5b - Reasoning,qwen2.5:0.5b - Total Duration,qwen2.5:0.5b - Load Duration,qwen2.5:0.5b - Prompt Eval Count,qwen2.5:0.5b - Prompt Eval Duration,qwen2.5:0.5b - Eval Count,qwen2.5:0.5b - Eval Duration,qwen2.5:0.5b - Temperature,qwen2.5:0.5b - Seed,qwen2.5:0.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses disappointment and frustration with the cosmetic dentist, highlighting their age and lack of interest in the service. The use of phrases like 'very impressive' and 'getting old' indicates a negative sentiment towards the dental clinic.",0.90,0.03,617,0.41,63,0.46,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses gratitude and appreciation for the author's videos, mentions their deployment in Iraq, and requests a trick with numbers. The tone is enthusiastic and positive throughout the text.",0.49,0.01,760,0.06,53,0.42,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses frustration and disappointment with the speaker's behavior. The use of phrases like 'truly no one is safe' indicates a negative sentiment towards the speaker, who seems to be criticizing their actions or appearance.",0.47,0.01,615,0.02,61,0.43,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment expresses excitement and enthusiasm about a cosmetic dentist in San Diego, highlighting their high price ($500) and the promotion they received. The use of exclamation marks and positive language like 'love' and 'goal' indicates a positive sentiment.",0.55,0.01,642,0.03,69,0.51,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment uses positive language, such as 'so good', 'easy', and 'good'. The author is expressing enthusiasm about the cosmetic dentist in San Diego. The use of emojis (😊) also adds to the positive tone.",0.51,0.01,615,0.02,64,0.48,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong positive sentiment towards the cosmetic dentist, highlighting their expertise and quality of service. The use of exclamation points, capitalization, and repetition indicate enthusiasm and admiration for the speaker's experience.",0.49,0.01,671,0.03,59,0.45,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment expresses gratitude and appreciation, highlighting the value of the $500 payment. The use of emojis (😊) and informal language also contribute to a positive tone.",0.43,0.01,621,0.02,53,0.40,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses enthusiasm and admiration for Jason's performance, using positive language such as 'even better' and 'definitely the GOAT'. The context of a live performance suggests an overall positive sentiment.",0.45,0.01,624,0.02,58,0.41,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment uses positive language such as 'always love', 'truly impressive', and expresses enthusiasm about the waterfall trick. The use of exclamation marks also indicates excitement and a positive tone.",0.46,0.01,612,0.02,56,0.42,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the speaker's skill in magic tricks, highlighting their mastery of the art form. The use of exclamation points and the overall positive tone convey a sense of excitement and appreciation for the speaker's abilities.",0.52,0.01,653,0.03,63,0.48,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses sarcasm and irony, expressing frustration with the user for not paying attention to the video. The tone is sarcastic and mocking, indicating that the man's CGI machine must be burning or malfunctioning. This negative sentiment is further reinforced by the use of emojis and the overall context of the video.",0.61,0.01,615,0.02,80,0.57,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The comment expresses disappointment and frustration, criticizing the video's quality and the high cost of the CGI effects. The phrase 'Another great vid' indicates a positive sentiment towards the video itself, but the overall tone is negative due to the criticism of the video's production.",0.56,0.01,636,0.03,71,0.52,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration and disappointment with Mr. Jason, highlighting a difficult situation where he was trying to talk to the wall but it turned out to be an actual person instead. The tone is critical and negative, indicating that the speaker feels the situation is unfair or unhelpful.",0.57,0.01,621,0.02,74,0.53,0,1,8192
