Comment,internlm2:1.8b - Sentiment,internlm2:1.8b - Reasoning,internlm2:1.8b - Total Duration,internlm2:1.8b - Load Duration,internlm2:1.8b - Prompt Eval Count,internlm2:1.8b - Prompt Eval Duration,internlm2:1.8b - Eval Count,internlm2:1.8b - Eval Duration,internlm2:1.8b - Temperature,internlm2:1.8b - Seed,internlm2:1.8b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment contains negative language and a sense of weariness or resignation. Key phrases such as ""Very impressive"" and ""getting old"" suggest that the commenter is dissatisfied with something, which in this case, seems to be an aspect of the video they are commenting on.",1.32,0.01,167,0.66,75,0.65,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment starts with positive language, expressing gratitude for Jason's videos and the support they provide during deployment. The use of exclamation marks in key phrases like ""First off thank you for entertaining me"" and ""I wish you nothing but more success and growth on your channel"" further emphasizes the sentiment as positive. The context provided by the comment is that it is a request to perform a trick related to the dates 6, 1, and 8, which are significant to the user's upcoming return from Iraq. This aspect contributes to the overall positive sentiment of the comment.",1.34,0.01,308,0.13,135,1.20,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment contains negative language and a tone of self-deprecation. Key phrases such as ""truly no one"" suggest a lack of confidence or a sense of being overlooked by others. The phrase ""he even trash talks himself"" further emphasizes the negativity, indicating that the speaker is aware of their own shortcomings and uses it to criticize themselves.",0.84,0.01,165,0.03,92,0.79,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment contains negative language and a critical tone towards the YouTube platform. Key phrases such as ""I love how"" and ""you are still the goal"" indicate dissatisfaction or frustration with the content provided by the platform.",0.61,0.01,195,0.05,63,0.55,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,"The comment contains a negative sentiment due to the word ""good"" which is generally associated with positive feelings. The use of multiple exclamation marks emphasizes this sentiment, further suggesting that the comment is negative.",0.56,0.01,171,0.03,60,0.52,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses enthusiasm and appreciation for the content, indicating a positive sentiment. Key phrases such as ""hands down the best I've ever seen,"" suggest high praise. The use of exclamation marks intensifies this sentiment, further emphasizing the positive nature of the comment.",0.72,0.01,220,0.07,73,0.64,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment contains negative language, such as ""nicely done"" which implies a lack of appreciation or approval. The phrase ""she paid 500 for an advertisement"" further emphasizes the sentiment as it suggests that the person paying for the ad is not satisfied with the outcome. This context and word choice contribute to the classification as NEGATIVE.",0.80,0.01,170,0.04,88,0.76,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment contains positive language and a strong endorsement of Jason's performance. The use of 'GOAT' (an acronym for 'Great Artist') emphasizes the high level of appreciation for Jason's live performance in Boca Raton. The tone is enthusiastic, which further supports the classification as POSITIVE.",0.74,0.01,173,0.04,80,0.69,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment contains positive language and expresses admiration for the YouTube comment. The word ""impressive"" indicates a high level of approval, suggesting that the commenter has a favorable view of the content being discussed.",0.57,0.01,163,0.03,61,0.53,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment starts with a positive tone, as the user expresses excitement about watching the video closely. The phrase ""I have been watching you very closely"" indicates that the user is engaged and interested in the content. Further, the user states that they can never spot how the trick is pulled off, which suggests that they believe the video's creator has mastered the trick. This positive sentiment is further reinforced by the user's decision to call the creator friend.",1.01,0.01,201,0.06,109,0.95,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The comment contains a negative emotional tone, as indicated by the use of 'must' and 'burning'. The word choice is also negative, with phrases like 'CGI machine must be burning', which implies frustration or disapproval. The context provided by the transcript (if available) would further explain this sentiment, as it might indicate that the commenter is expressing a negative opinion about something specific related to the video they are commenting on.",0.97,0.01,167,0.03,107,0.93,0,1,8192
