Comment,qwen2.5:0.5b - Sentiment,qwen2.5:0.5b - Reasoning,qwen2.5:0.5b - Total Duration,qwen2.5:0.5b - Load Duration,qwen2.5:0.5b - Prompt Eval Count,qwen2.5:0.5b - Prompt Eval Duration,qwen2.5:0.5b - Eval Count,qwen2.5:0.5b - Eval Duration,qwen2.5:0.5b - Temperature,qwen2.5:0.5b - Seed,qwen2.5:0.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses disappointment and frustration with the cosmetic dentist, mentioning that it's a top cosmetic dentist in San Diego and that the customer is leaving. The use of exclamation marks and the overall tone convey a sense of dissatisfaction and regret.",0.78,0.03,626,0.27,65,0.48,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses gratitude and appreciation for the author's videos, mentions their deployment in Iraq, and requests a trick with numbers. The tone is enthusiastic and positive, indicating that the author feels good about the conversation and wants to continue it.",0.57,0.01,769,0.07,65,0.48,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses frustration and disappointment with the speaker's behavior. The use of phrases like 'truly no one is safe' indicates a negative sentiment towards the speaker, who seems to be criticizing their actions or appearance.",0.47,0.01,624,0.02,61,0.43,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment expresses excitement and enthusiasm about a cosmetic dentist in San Diego, highlighting their high price ($500) and the promotion they received. The use of exclamation marks and the overall positive tone convey a sense of satisfaction and anticipation for the customer.",0.55,0.01,651,0.03,69,0.51,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment uses positive language such as 'so good', 'easy', and 'good'. It also expresses gratitude for the $500 request, which is a clear indicator of a positive sentiment. The use of emojis and informal language further reinforces the positive tone.",0.56,0.01,624,0.02,71,0.52,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong positive sentiment towards the cosmetic dentist, highlighting their expertise and quality of service. The use of exclamation points and enthusiastic language indicates a high level of satisfaction with the experience.",0.47,0.01,680,0.03,56,0.42,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment expresses gratitude and appreciation for the $500 payment, highlighting the value of the service being advertised. The use of emojis (😊) further emphasizes the positive sentiment.",0.42,0.01,630,0.02,54,0.39,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses enthusiasm and admiration for Jason's performance, using positive language such as 'even better' and 'definitely the GOAT'. The context of a live performance suggests an overall positive sentiment.",0.45,0.01,633,0.02,58,0.42,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment uses positive language such as 'always love', 'truly impressive', and expresses enthusiasm about the waterfall trick, which indicates a positive sentiment.",0.38,0.01,621,0.02,48,0.35,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the speaker's skill in magic tricks, highlighting their mastery of the art form. The use of exclamation marks and the overall positive tone convey a sense of excitement and appreciation for the speaker's abilities.",0.51,0.01,662,0.03,63,0.47,0,1,8192
