Comment,smollm2:360m - Sentiment,smollm2:360m - Reasoning,smollm2:360m - Total Duration,smollm2:360m - Load Duration,smollm2:360m - Prompt Eval Count,smollm2:360m - Prompt Eval Duration,smollm2:360m - Eval Count,smollm2:360m - Eval Duration,smollm2:360m - Temperature,smollm2:360m - Seed,smollm2:360m - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The sentiment of this comment is positive, as it expresses satisfaction and appreciation for the person's accomplishment. The use of words like ",0.99,0.02,621,0.56,46,0.41,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The sentiment analysis of the YouTube comment is positive, indicating that the user expresses appreciation for Jason's videos and wishes to receive a trick with the 6, 1, and 8. The use of words like ",0.62,0.01,764,0.04,65,0.57,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"The sentiment of this comment appears to be positive, as it expresses admiration for Dr. Elana's expertise and confidence in her abilities. The use of words like ",0.49,0.01,619,0.02,53,0.46,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The sentiment of this YouTube comment is positive, as it expresses enthusiasm and satisfaction with the advertisement. The use of words like ",0.41,0.01,648,0.02,45,0.38,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The sentiment of this comment is positive. The user expresses enthusiasm and satisfaction with the offer, using words like 'so good' and 'amazing'. This suggests that they are genuinely pleased with the deal.",0.54,0.01,623,0.02,61,0.51,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The sentiment of this YouTube comment is positive, as it expresses admiration and appreciation for Dr. Elana's exceptional skills in cosmetic dentistry. The use of words like 'hands down' and 'best' further emphasize the high praise being given to her abilities. Additionally, the fact that the person watching the video has already seen similar content suggests a level of familiarity with the topic.",0.85,0.01,675,0.03,95,0.81,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The sentiment of this comment is positive, as it expresses satisfaction with the advertisement. The use of words like ",0.39,0.01,625,0.02,42,0.36,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The sentiment of this comment is positive, as it expresses enthusiasm and admiration for Jason's performance at a live event in Boca Raton. The use of words like ",0.50,0.01,630,0.02,55,0.48,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The video clearly shows that the person is praising the waterfall trick, which is a highly skilled and impressive feat. The use of words like 'always love' and 'truly impressive' indicate a positive sentiment towards the trick.",0.57,0.01,617,0.02,65,0.54,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"After careful analysis, I have determined that Magic is indeed a real phenomenon. The video clearly shows the techniques used by Dr Elana to pull these tricks off with ease and skill.",0.50,0.01,657,0.02,56,0.47,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The video clearly shows that the person is enthusiastic and appreciative of the request. The use of words like 'awesome' and 'great' suggests a positive tone, which aligns with their classification as POSITIVE sentiment.",0.57,0.01,619,0.02,65,0.54,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The YouTube comment contains positive sentiment, as it praises the vid's CGI crew and highlights the genius of the actor. The use of words like ",0.46,0.01,642,0.02,50,0.43,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"The sentiment of this comment appears to be positive, as it describes a challenging task that requires exceptional skill and confidence. The use of words such as 'hardest' and 'tricky' suggests that the speaker is enthusiastic about the challenge and willing to put in extra effort to succeed. Additionally, the phrase 'talking to the wall like there is actually someone standing' implies that the speaker has a high level of expertise or experience with this task.",0.97,0.01,625,0.02,111,0.94,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The video clearly shows a positive sentiment. The comment is respectful and appreciative of the request, which suggests that the person who made it is pleased with the offer.",0.47,0.01,616,0.02,53,0.44,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"Jason's comment is enthusiastic and positive, suggesting that he enjoyed the experience of watching the video. The use of words like ",0.45,0.01,664,0.02,47,0.42,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The sentiment of this comment appears to be positive, as it expresses admiration for a person's exceptional skills and confidence in their abilities. The use of words like 'love' and 'earn the right' also contribute to a sense of appreciation and respect.",0.63,0.01,628,0.02,71,0.60,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The video is extremely enthusiastic and praises the beauty of the waterfall, praising its ability to create an unforgettable experience for viewers. The use of words like 'incredible' and 'absolutely incredible' further emphasize this positive sentiment.",0.58,0.00,616,0.02,66,0.55,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The sentiment of the YouTube comment is positive, as it expresses enjoyment and admiration for the channel's card manipulation skills. The use of emojis like ✌️🇨🇦 indicates a casual and friendly tone.",0.60,0.01,636,0.02,67,0.57,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The sentiment analysis of this YouTube comment is positive. The user clearly identifies the key elements of the video and provides a detailed explanation for their understanding of the context. They mention that they look at a dark silver car behind Jason's head, pay close attention to the angle of the green case, and then notice that he touches his face roughly around 42 seconds in. This suggests that the user has some knowledge about the video content and is able to interpret it correctly.",1.02,0.01,679,0.03,114,0.98,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment is positive because it mentions that the shuffling of cards was legitimate and easy, which suggests a high level of confidence in the process. Additionally, the use of the word ",0.51,0.01,614,0.02,57,0.49,0,1,8192
