Comment,internlm2:1.8b - Sentiment,internlm2:1.8b - Reasoning,internlm2:1.8b - Total Duration,internlm2:1.8b - Load Duration,internlm2:1.8b - Prompt Eval Count,internlm2:1.8b - Prompt Eval Duration,internlm2:1.8b - Eval Count,internlm2:1.8b - Eval Duration,internlm2:1.8b - Temperature,internlm2:1.8b - Seed,internlm2:1.8b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment contains negative language and phrases such as ""Leaving,"" ""Very impressive,"" and ""Peace out."" These words convey a sense of dissatisfaction or disappointment with the content of the video, which in this case is an advertisement for cosmetic services at $500. The use of terms like ""very impressive"" suggests that the commenter finds the content to be less than satisfactory.",1.90,0.01,605,0.95,97,0.94,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment contains negative language and requests for specific actions, which indicates a negative sentiment. The mention of the US army and deployment in Iraq further emphasizes this sentiment. Additionally, the request for specific dates is a clear indication of negative sentiment.",0.79,0.01,747,0.14,65,0.64,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment contains negative language and phrases such as ""trash talks"" and ""no one is safe"". The tone of the comment seems to be critical or dismissive, which influences the classification as NEGATIVE.",0.65,0.01,602,0.04,63,0.60,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment contains negative language and phrases such as ""welcome to the hustle,"" ""I love how,"" and ""you are still the goal."" These words indicate dissatisfaction or frustration with the content of the YouTube video.",0.69,0.01,633,0.06,64,0.63,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,"The comment contains negative language and phrases such as ""so good"" which implies a lack of satisfaction or dissatisfaction. The mention of ""$500 the request"" suggests that there is an expectation or demand for something, but it does not seem to be fulfilled in this context.",0.76,0.01,609,0.04,74,0.71,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses positive sentiment towards the YouTube content, highlighting appreciation and admiration for the individual behind it. The use of phrases like ""hands down the best"" and ""awesome content"" further emphasizes this sentiment.",0.70,0.01,657,0.08,62,0.61,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment contains negative language, such as ""nicely done"" and ""she paid 500 for an advertisement,"" which indicates a negative sentiment. The use of ""and she"" further emphasizes the negative tone, suggesting that the person who made this comment is not satisfied with the situation. Additionally, the phrase ""that's easy"" implies that there are no significant challenges or obstacles in achieving the desired outcome.",1.03,0.01,608,0.04,101,0.98,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a strong positive sentiment towards the YouTube content, which is likely due to the high praise and recognition it receives. The use of exclamation marks and enthusiastic language further emphasizes this sentiment.",0.61,0.01,612,0.04,58,0.56,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses a positive sentiment towards the waterfall trick. The use of words like ""always"" and ""truly impressive"" indicates that the commenter finds this technique to be highly effective and impressive.",0.61,0.01,601,0.04,59,0.56,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,NEGATIVE,"The comment contains negative language, such as ""I have been watching you very closely"" and ""So after careful analysis  I have decided that Magic is 100% real"". The sentiment of the comment is negative because it expresses disappointment with the content being watched.",0.78,0.01,638,0.06,72,0.72,0,1,8192
