Comment,smollm2:1.7b - Sentiment,smollm2:1.7b - Reasoning,smollm2:1.7b - Total Duration,smollm2:1.7b - Load Duration,smollm2:1.7b - Prompt Eval Count,smollm2:1.7b - Prompt Eval Duration,smollm2:1.7b - Eval Count,smollm2:1.7b - Eval Duration,smollm2:1.7b - Temperature,smollm2:1.7b - Seed,smollm2:1.7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The sentiment of this YouTube comment is negative due to several factors in the tone, word choice, and context. The use of 'leaving' suggests that the speaker has had enough or is dissatisfied with the content being presented. Additionally, the phrase 'very impressive but getting old' implies a sense of disappointment or frustration. Lastly, the exclamation mark at the end indicates strong emotions.",2.37,0.01,179,1.03,98,1.33,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The YouTube comment expresses strong positive sentiment towards the channel and its creator. The tone is enthusiastic, appreciative, and supportive. Key phrases such as 'love you,' 'thank you for entertaining me,' and 'make my week' indicate a sense of gratitude and enjoyment. Additionally, the request to perform a trick with specific numbers shows that the commenter values the creator's time and effort.",1.52,0.01,322,0.15,98,1.36,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The sentiment of the YouTube comment can be classified as NEGATIVE due to several factors. Firstly, the tone of the comment is quite harsh and critical, with phrases like 'trash talks himself' which convey a sense of disrespect or mockery towards the person being discussed. Additionally, the use of words such as 'truly no one is safe' implies that the speaker feels threatened or vulnerable in some way. The context from the transcript does not provide enough information to make a definitive classification, but based on the content alone, it seems likely that the sentiment is negative.",1.88,0.01,177,0.04,135,1.84,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The YouTube comment expresses a negative sentiment through several indicators: tone, key phrases, and context. The tone is sarcastic and dismissive, with words like 'hustle' and 'don't even know what's real anymore.' These phrases suggest that the user feels deceived or misled by the content being promoted.",1.23,0.01,206,0.06,85,1.17,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,"The sentiment of the YouTube comment is negative due to several factors. Firstly, the tone of the comment is sarcastic and playful, as indicated by the use of exclamation marks (!) which are commonly used in humorous or ironic contexts. The phrase ",1.01,0.01,181,0.04,71,0.97,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The YouTube comment expresses strong enthusiasm and admiration for the person being discussed, using phrases such as 'hands down the best I've ever seen' and 'he seems like he'd be a helluva guy to hang out with.' The tone is positive and enthusiastic, indicating that the sentiment of the comment is predominantly positive.",1.23,0.00,233,0.08,84,1.14,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,The sentiment of the comment is negative due to several factors.,0.47,0.01,183,0.04,32,0.42,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The YouTube comment expresses strong enthusiasm and admiration for Jason, using words like 'better', 'GOAT' (Greatest Of All Time), and 'definitely'. The tone is positive as the user praises Jason's live performance. Contextually, this sentiment aligns with the fact that the user saw Jason in person and found him to be even better than expected.",1.29,0.01,188,0.04,92,1.24,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The YouTube comment expresses a positive sentiment towards the waterfall trick. The tone is enthusiastic and appreciative, with phrases like 'always love' and 'truly impressive.' These words contribute to the overall positivity of the comment.",0.90,0.01,175,0.04,64,0.86,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The YouTube comment expresses a strong positive sentiment towards the magic trick performer, indicating that they are impressed by their skills. The tone of the comment is enthusiastic and supportive, with phrases such as 'I have been watching you very closely' and 'So after careful analysis I have decided.' Key phrases like '100% real' also reinforce this positive sentiment.",1.32,0.01,215,0.06,92,1.25,0,1,8192
