Comment,deepseek-r1:1.5b - Sentiment,deepseek-r1:1.5b - Reasoning,deepseek-r1:1.5b - Total Duration,deepseek-r1:1.5b - Load Duration,deepseek-r1:1.5b - Prompt Eval Count,deepseek-r1:1.5b - Prompt Eval Duration,deepseek-r1:1.5b - Eval Count,deepseek-r1:1.5b - Eval Duration,deepseek-r1:1.5b - Temperature,deepseek-r1:1.5b - Seed,deepseek-r1:1.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEUTRAL,"The comment is neutral because it expresses a mix of positive and negative emotions without strong emphasis on either side. The words 'impressive' suggest admiration, while 'getting old' shows disapproval. Without context from the transcript, it's hard to determine if these feelings are balanced or not.",1.57,0.02,161,0.59,80,0.96,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEUTRAL,"The comment is neutral because it expresses gratitude and offers a request for a trick, which shows engagement without being overly positive or negative. The context of the user's deployment in Iraq adds some emotional weight but doesn't outweigh the positive sentiment towards Jason's videos.",0.94,0.01,304,0.14,68,0.79,0,1,8192
He even trash talks himself  truly no one is safe,NEUTRAL,"The comment uses strong, negative language that conveys a sense of danger and lack of safety. The words 'truly' and 'no one' suggest a clear intention to convey concern or alarm. While the context might imply some level of fear or urgency, the overall tone is perceived as negative due to the emotional weight of the language used.",1.29,0.01,159,0.04,103,1.23,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEUTRAL,"The comment is neutral because it expresses a mix of positive and negative emotions. The use of 'Indeed!' adds a bit of positivity, while the mention of paid promotions can be seen as misleading or confusing. However, the overall tone doesn't lean towards any extreme sentiment.",1.04,0.01,186,0.06,80,0.97,0,1,8192
"""I am so good""  🤣🤣🤣",NEUTRAL,"The comment is neutral because it uses a casual and playful tone, which doesn't convey strong emotions. The phrase 'so good' is simple and not indicative of any positive or negative sentiment. There's no explicit criticism or praise, so the overall feeling isn't strongly positive or negative.",1.01,0.01,159,0.04,79,0.95,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,NEUTRAL,"The comment expresses admiration and gratitude, but lacks specific emotional cues or context that would strongly lean towards positive or negative sentiment. The use of phrases like 'hands down' and 'helluva' suggests high praise, which could be seen as positive, but the lack of direct comparison to others or a clear indication of dissatisfaction makes it neutral.",1.07,0.01,215,0.07,85,0.98,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEUTRAL,"The comment is neutral because it expresses appreciation but lacks strong emotional emphasis, using a casual tone with emojis that don't convey deep emotion. The mention of paying for an advertisement doesn't add significant emotional weight and the context isn't clear enough to influence the sentiment.",0.95,0.01,165,0.04,74,0.89,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,NEUTRAL,"The comment uses strong adjectives like 'GOAT' and 'even better,' which convey enthusiasm and confidence, but it doesn't express any negative feelings or emotions. The context of mentioning Jason in Boca Raton is a positive event, so the sentiment leans towards neutral.",0.98,0.01,168,0.04,76,0.92,0,1,8192
Always love the waterfall trick! Truly impressive,NEUTRAL,The comment is neutral because it expresses admiration for a specific technique without any positive or negative connotations. The words 'always' and 'impressive' convey enthusiasm but do not indicate strong feelings of approval or disapproval.,1.02,0.01,156,0.04,78,0.97,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,NEUTRAL,"The comment expresses a strong belief in the authenticity of Magic, using words like 'I' and 'you.' The emotional tone is positive but could be perceived as overly confident or self-centered. However, without context from the transcript, it's challenging to determine if this sentiment is neutral or not.",1.06,0.01,197,0.06,81,0.98,0,1,8192
This man's CGI machine must be burning  😂,NEUTRAL,"The comment uses a smiley face emoji, which is common in positive sentiment. However, the phrase 'burning' suggests frustration or anger, which leans towards a negative tone despite the visual appeal of the CGI machine.",0.85,0.01,159,0.04,66,0.80,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEUTRAL,"The comment expresses admiration for the video quality but uses vague language about CGI crew and the cost of the genius. The positive sentiment is influenced by the praise, but the lack of specific details makes it neutral.",0.84,0.01,180,0.06,63,0.77,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEUTRAL,"The comment uses a metaphorical comparison, which can be seen as neutral. The phrase 'talking to the wall' suggests an exaggerated or overly dramatic tone, but it's balanced by the idea that someone might be there, making it ambiguous. There's no clear indication of positive or negative intent.",1.05,0.01,165,0.04,82,0.99,0,1,8192
