model_analysis_gemma2_2b
Comment;gemma2:2b - Sentiment;gemma2:2b - Reasoning;gemma2:2b - Total Duration;gemma2:2b - Load Duration;gemma2:2b - Prompt Eval Count;gemma2:2b - Prompt Eval Duration;gemma2:2b - Eval Count;gemma2:2b - Eval Duration;gemma2:2b - Temperature;gemma2:2b - Seed;gemma2:2b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.;NEGATIVE;This comment expresses a clear sentiment of dissatisfaction, indicating the user is leaving or disengaging from something. };0.92;0.03;162;0.17;43;0.73;0;1;8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""";POSITIVE;This comment exhibits overwhelmingly positive sentiment. Here's why: 1) **Strong Affection and Appreciation:** The commenter expresses deep affection for the YouTuber (;1.57;0.02;309;0.18;68;1.37;0;1;8192
He even trash talks himself  truly no one is safe;NEGATIVE;"This comment expresses a strong negative sentiment. Here's why:

* **Tone Analysis:** The language used is aggressive and sarcastic, with words like 'trash talks' suggesting mockery and negativity.  The phrase 'truly no one is safe' implies a sense of fear or threat.
* **Key Phrases/Words:** 
    * **";1.79;0.02;161;0.04;100;1.72;0;1;8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.";POSITIVE;This comment exhibits a positive sentiment due to several factors: 1) **Enthusiastic Tone:** The phrase 'Welcome to the hustle, indeed!' conveys excitement and engagement with the content. The use of emojis like 😅 further reinforces this positive tone. 2) **Positive Association:** The commenter expresses appreciation for the;2.04;0.02;189;0.07;105;1.95;0;1;8192
"""I am so good""  🤣🤣🤣";POSITIVE;This comment exhibits a clear sense of positive sentiment.  emojis are often used to express joy and excitement, and the phrase 'I am so good' suggests a feeling of accomplishment or satisfaction. The use of '🤣🤣🤣' further reinforces this by indicating amusement and lightheartedness.  The overall tone is playful and celebratory.;1.31;0.02;157;0.05;82;1.24;0;1;8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!;POSITIVE;"This comment expresses overwhelmingly positive sentiment. Here's why: 1) **Strong Positive Language:** The phrase 'hands down the best I've ever seen' is a clear indication of strong approval and admiration for the subject of the video. 2) **Emphasis on Quality:** Phrases like 'doesn't matter how many times I watch' and 'not even close' highlight the speaker's deep appreciation for the content, suggesting it's exceptional. 3) **Personal Connection:** The comment goes beyond just praising the content; it expresses a desire to hang out with the creator (";2.86;0.02;221;0.10;160;2.75;0;1;8192
Nicely done and she paid 500 for an advertisement.  😂;POSITIVE;"This comment exhibits a positive sentiment due to several factors: 

* **Positive Tone:** The phrase 'Nicely done' expresses approval and appreciation, indicating a positive emotional tone.
* **Humor:**  The use of the laughing emoji (😂) suggests amusement and lightheartedness, further reinforcing a positive sentiment. 
* **Contextual Insight:** The comment mentions that someone paid $500 for an advertisement. This information is likely to be interpreted as a positive aspect by the commenter, implying that the advertisement was successful or worth the investment.

The overall tone of the comment suggests a favorable opinion about the content and its creator.";2.31;0.02;165;0.05;151;2.24;0;1;8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!;POSITIVE;"This comment expresses strong positive sentiment. Here's why:

* **Tone analysis:** The language used is enthusiastic and celebratory, with terms like 'even better live,' 'GOAT,' and exclamation marks indicating a high level of excitement.
* **Key phrases/words:**  The phrase 'even better live' directly compares the performer to their recorded version in a positive light. ";1.59;0.02;166;0.04;100;1.52;0;1;8192
Always love the waterfall trick! Truly impressive;POSITIVE;"This comment expresses strong positive sentiment. Here's why:

* **";0.96;0.02;158;0.04;47;0.90;0;1;8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!;POSITIVE;This comment exhibits a strong positive sentiment. Here's why: 1) **Enthusiastic Tone:** The commenter uses phrases like 'very closely', 'never spot how in the world you pull these tricks off', and 'I have been watching you very closely'. This indicates genuine admiration and excitement for the magician's skills. 2) **Word Choice:** Words like;1.98;0.02;199;0.07;106;1.89;0;1;8192
This man's CGI machine must be burning  😂;NEGATIVE;"The comment expresses a humorous and sarcastic sentiment. 💥 Here's why: 

* **";1.37;0.02;161;0.04;66;1.31;0;1;8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive;POSITIVE;This comment expresses strong positive sentiment towards the video content. Here's why: 1) **Positive Language:** The phrase 'Another great vid' clearly indicates a favorable opinion of the video.  2) **Enthusiasm and Appreciation:** Words like 'amazing tricks' show excitement and appreciation for the creator's skills. 3) **Acknowledgement of Production:** The comment acknowledges the high production value, stating that the CGI crew must be large to keep up with the content. This suggests a positive view of the video's quality and effort. 4) **Positive Comparison:**  The comparison to 'genius is expensive' implies that the creator's work is exceptional and worth the investment in resources. Overall, the comment uses positive language and expresses strong appreciation for the video content.;2.73;0.02;182;0.07;177;2.63;0;1;8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing;NEGATIVE;"This comment expresses a negative sentiment through its tone and word choice. 🎧

- **Tone Analysis:** The phrase 'Hardest thing for Mr Jason' suggests a sense of difficulty or frustration, implying that the speaker finds it challenging to communicate with someone who is not there. This sets up an underlying negativity.
- **Key Phrases/Words:**  ";2.08;0.02;167;0.31;104;1.75;0;1;8192
Respect for leaving in the blooper;NEUTRAL;"The comment expresses a neutral sentiment. Here's why:

* **Tone Analysis:** The phrase 'Respect for leaving in the blooper' is neither overtly positive nor negative. It lacks strong emotional language or expressions of excitement, disappointment, or anger.
* **Key Phrases/Words:**  'Respect' and 'leaving in the blooper' suggest a focus on acknowledging something that might be considered an error or mistake. This neutral tone suggests no strong feelings are being expressed.
* **Context Consideration:** Without further context from the YouTube video, it's difficult to determine the exact sentiment. However, the comment itself is devoid of any clear emotional expression. It could be a simple acknowledgement of something that happened in the video.";2.55;0.02;157;0.04;171;2.48;0;1;8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉;POSITIVE;This comment expresses strong positive sentiment. Here's why: 1) **Excitement and Humor:** The use of emojis like 😂, 🎉, and the exclamation points indicates a high level of excitement and amusement. The phrase 'Leap out of the deck??!!' suggests a sense of surprise and playful disbelief.  2) **Positive Language:** Words like;1.84;0.02;185;0.07;102;1.75;0;1;8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.;NEGATIVE;This comment expresses a clear negative sentiment towards arrogance, even though it acknowledges the individual's skill and talent. Here's why: 1) **Tone Analysis:** The phrase 'I love when someone who is the best at something is arrogant' reveals a contradictory and ironic tone. It implies enjoyment in the person's arrogance, which suggests a negative sentiment towards their behavior.  2) **Key Phrases/Words:**;2.02;0.02;171;0.05;115;1.95;0;1;8192
Waterfall with two cards. Absolutely incredible!;POSITIVE;"This comment expresses strong positive sentiment. Here's why:

* **Word Choice:** The phrase 'absolutely incredible!' is a clear indicator of excitement and admiration. It goes beyond simple satisfaction and conveys a sense of awe.
* **Tone Analysis:** The tone is enthusiastic, bordering on ecstatic.  The use of exclamation marks further emphasizes the positive emotion.
* **Context:** While we don't have the full context of the video or the comment thread, the phrase 'Waterfall with two cards' suggests a visual spectacle that likely evokes feelings of wonder and appreciation. This visual element is often associated with positive emotions in online content.";2.27;0.02;158;0.05;151;2.20;0;1;8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦;POSITIVE;"This comment expresses strong positive sentiment. Here's why:

* **";1.31;0.02;171;0.04;63;1.24;0;1;8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it;POSITIVE;This comment exhibits a strong positive sentiment. Here's why: 1) **Enthusiasm and Discovery:** The commenter uses phrases like 'Aha!' and 'i figuree it out,' indicating excitement and a sense of accomplishment in solving a mystery or puzzle.  2) **Intrigue and Speculation:** The comment focuses on specific details (;1.79;0.02;219;0.10;97;1.67;0;1;8192
"""Shuffles legit obviously.""";POSITIVE;"The comment 'Shuffles legit obviously.' expresses strong positive sentiment. Here's why:

* **Tone Analysis:** The phrase 'Shuffles legit' is delivered in a confident and enthusiastic tone, suggesting approval or endorsement of something related to shuffling (likely a card game).  The use of the word 'legit' implies authenticity and credibility.
* **Key Phrases/Words:**  'Shuffles' and 'legit' are key phrases that convey positive sentiment. The combination suggests the speaker is impressed with the skill or quality of something related to shuffling.
* **Context Consideration:** While the comment lacks context, the use of 'legit' implies a level of expertise or knowledge about the subject matter. This further reinforces the positive sentiment.";2.64;0.02;155;0.04;177;2.58;0;1;8192
