Comment,qwen2.5:0.5b - Sentiment,qwen2.5:0.5b - Reasoning,qwen2.5:0.5b - Total Duration,qwen2.5:0.5b - Load Duration,qwen2.5:0.5b - Prompt Eval Count,qwen2.5:0.5b - Prompt Eval Duration,qwen2.5:0.5b - Eval Count,qwen2.5:0.5b - Eval Duration,qwen2.5:0.5b - Temperature,qwen2.5:0.5b - Seed,qwen2.5:0.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses disappointment and a sense of aging, which are negative emotions. The use of 'very impressive' indicates that the person found something noteworthy or valuable, leading to their conclusion being positive. However, the phrase 'getting old' suggests a sense of loss or weariness, which is not typically associated with positive sentiment.",0.88,0.02,175,0.31,83,0.55,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses gratitude and appreciation for Jason's videos, mentions the upcoming return home on June 18th, and requests a specific trick. The tone is warm and appreciative, with no negative words or phrases that would detract from the positive sentiment.",0.56,0.01,318,0.06,70,0.49,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment. The phrase 'truly no one is safe' indicates that the person being referred to is in danger, which is generally considered a negative emotion.",0.38,0.01,174,0.02,54,0.35,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment expresses a positive sentiment towards the author, highlighting their appreciation for the inclusion of a paid promotion tag and their enjoyment of the author's content. The use of exclamation marks and the overall tone convey enthusiasm and satisfaction with the author's work.",0.50,0.01,201,0.02,68,0.46,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The phrase 'I am so good' is a positive statement, expressing satisfaction or approval. The use of exclamation marks and the repetition of 'so' indicate enthusiasm and excitement about being described as 'good'. This positive sentiment aligns with the classification of POSITIVE.",0.51,0.01,175,0.02,72,0.48,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong positive emotions towards the video creator, highlighting their exceptional quality and popularity among viewers. Key phrases that influenced my decision include 'hands down', 'best I've ever seen', 'not even close', and 'helluva guy'. The context of the comment suggests a sense of admiration for the creator's content and willingness to share it with others. Overall, this sentiment is positive as it conveys appreciation and enthusiasm towards the video.",0.76,0.01,230,0.03,108,0.72,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment expresses a positive sentiment, as it praises the person's work and mentions that they received a good deal on an advertisement. The use of emojis (😊) further reinforces the positive tone.",0.42,0.01,180,0.02,57,0.39,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a positive sentiment towards Jason's performance at the live event, highlighting his superior skills and quality of work. The use of phrases like 'even better' and the exclamation mark indicate enthusiasm and admiration for Jason's performance.",0.46,0.01,181,0.02,65,0.43,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses a positive emotion, highlighting the user's appreciation for the waterfall trick and their admiration for its effectiveness. The use of exclamation marks emphasizes the enthusiasm and excitement about the trick.",0.41,0.01,171,0.02,56,0.38,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the performer's skill, highlighting their ability to perform tricks flawlessly. The use of exclamation marks and the overall positive tone convey a sense of excitement and approval towards the performer.",0.42,0.01,212,0.02,59,0.38,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The comment uses positive language such as 'burning', 'must', and '😊' (smiling face emoji), which indicate a positive sentiment. The use of exclamation marks also conveys enthusiasm and excitement, further supporting the positive nature of the comment.",0.48,0.01,174,0.02,70,0.45,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses admiration for the video's creator and highlights their impressive abilities. The phrase 'another great vid' indicates a positive sentiment, while the statement about CGI crew size and the ability to keep up with tricks suggests enthusiasm and excitement. Additionally, the use of 'Genius is expensive' implies that the creator values their work and the investment they make in it.",0.62,0.01,195,0.02,91,0.59,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration and disappointment with Mr. Jason's behavior, using words like 'hard', 'standing', and 'wall'. These phrases convey a sense of being ignored or not valued, which is negative sentiment.",0.43,0.01,180,0.02,61,0.40,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment expresses a positive sentiment towards respecting others' opinions and sharing content. The use of 'respect' indicates a sense of admiration or appreciation, which is generally associated with positive emotions.",0.39,0.01,170,0.02,55,0.36,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses a positive sentiment towards the speaker, their friends, and the content of the video. Key phrases that contribute to this are 'ready', 'master goat', 'greetz', and 'gonna leave me stunned'. The use of emojis and exclamation marks also indicate enthusiasm and excitement.",0.56,0.01,206,0.02,79,0.52,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses a positive sentiment towards the person being referred to, as they are described as 'the best at something' and have earned their right to be praised. The use of phrases like 'you've certainly earned the right' indicates approval and admiration for the individual's abilities.",0.52,0.01,183,0.02,74,0.49,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment uses positive language such as 'absolutely incredible' and emphasizes the quality of the waterfall, indicating a high level of satisfaction or approval.",0.33,0.01,171,0.02,47,0.30,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment and appreciation for the author's skill in card manipulation, using positive language like 'really' and 'mind blowing'. The use of exclamation marks also indicates enthusiasm. Contextually, this is likely a response to a user who has been following the author or someone else who has shared similar content.",0.56,0.01,185,0.02,81,0.53,0,1,8192
