Comment,smollm2:1.7b - Sentiment,smollm2:1.7b - Reasoning,smollm2:1.7b - Total Duration,smollm2:1.7b - Load Duration,smollm2:1.7b - Prompt Eval Count,smollm2:1.7b - Prompt Eval Duration,smollm2:1.7b - Eval Count,smollm2:1.7b - Eval Duration,smollm2:1.7b - Temperature,smollm2:1.7b - Seed,smollm2:1.7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,The sentiment of the YouTube comment is negative due to several factors.,1.48,0.01,166,1.03,33,0.44,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The YouTube comment expresses strong positive sentiment towards the channel and its creator. The tone is enthusiastic, appreciative, and supportive. Key phrases that influenced this classification include 'love you,' 'thank you for entertaining me,' 'make my week,' and 'all love from Iraq.' The context of being deployed in a challenging environment and requesting a specific trick demonstrates the viewer's genuine interest and appreciation for the channel.",1.56,0.01,309,0.15,101,1.40,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The tone of the comment appears to be negative, as it uses words like 'trash' and 'truly no one is safe.' The use of these phrases suggests that the speaker feels strongly about their opinion and is expressing dissatisfaction or disapproval. Additionally, the fact that they are addressing someone directly with such strong language indicates a sense of frustration or anger.",1.28,0.01,164,0.04,92,1.23,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The YouTube comment is predominantly negative due to several factors. Firstly, the tone of the comment is sarcastic and dismissive, as evident from the use of the phrase 'Welcome to the hustle, indeed! 😅'. This indicates a sense of frustration or disappointment. Additionally, the mention of 'paid promotion' suggests that the user feels manipulated or deceived by the content being promoted. The final statement, ",1.48,0.01,194,0.06,104,1.42,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,"The tone of the comment is overwhelmingly positive, with multiple exclamation marks and a sarcastic undertone. The use of 'so' at the beginning indicates that the speaker feels they are good in comparison to others. However, this sentiment is not supported by any context or evidence from the video itself.",1.12,0.01,169,0.04,80,1.07,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The YouTube comment expresses strong enthusiasm and admiration for the person being referred to, using phrases such as 'hands down the best I've ever seen' and 'he seems like he'd be a helluva guy to hang out with.' These statements indicate that the sentiment is positive. Additionally, the use of exclamation marks (!) in the comment further emphasizes the speaker's excitement.",1.39,0.01,221,0.08,96,1.30,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The sentiment of the comment is negative because it contains a sarcastic remark about the cost of the advertisement, which was paid by the person being praised.",0.71,0.01,170,0.04,50,0.67,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The sentiment of this YouTube comment can be classified as positive due to several factors. Firstly, the tone of the comment is enthusiastic and excited, with phrases like 'Saw Jason live in Boca Raton.' This indicates that the speaker had a great experience watching Jason perform live.",1.06,0.01,174,0.04,76,1.02,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The YouTube comment expresses a positive sentiment towards the waterfall trick. The tone is enthusiastic and appreciative, with phrases like 'Always love' and 'Truly impressive.' These words contribute to the overall positivity of the comment.",0.90,0.01,162,0.04,64,0.85,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The YouTube comment expresses a strong positive sentiment towards the magic trick performer, indicating that they are impressed by their skills. The tone of the comment is enthusiastic and appreciative, with phrases such as 'I have been watching you very closely' and 'So after careful analysis I have decided.' Key phrases like '100% real' further reinforce this positive sentiment.",1.32,0.01,203,0.06,93,1.25,0,1,8192
