Comment,deepseek-r1:7b - Sentiment,deepseek-r1:7b - Reasoning,deepseek-r1:7b - Total Duration,deepseek-r1:7b - Load Duration,deepseek-r1:7b - Prompt Eval Count,deepseek-r1:7b - Prompt Eval Duration,deepseek-r1:7b - Eval Count,deepseek-r1:7b - Eval Duration,deepseek-r1:7b - Temperature,deepseek-r1:7b - Seed,deepseek-r1:7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses a mix of positive and negative emotions, but the overall sentiment leans towards negative. The phrase 'getting old' clearly conveys frustration or weariness with the situation, indicating a negative outlook on the future. Additionally, the use of 'Peace out.' suggests a desire to end the interaction abruptly, which reinforces the negative tone.",5.19,0.01,150,2.24,92,2.93,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment expresses strong support for the speaker's military service and acknowledges the positive impact of the YouTuber's content during deployment. However, towards the end, the speaker mentions their upcoming return and expresses a desire to engage with the YouTuber post-deployment. This indicates a slight disappointment or expectation that the YouTuber might not be prepared for this engagement, hence the negative sentiment.",3.80,0.01,293,0.53,102,3.27,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment through the use of strong language like 'trash talks' and 'no one is safe.' The speaker is indicating frustration or disapproval, suggesting that even within oneself, there are moments where self-doubt or insecurities can lead to harmful behavior. This reflects a critical view of oneself and others, hence the overall negative sentiment.",3.22,0.01,149,0.13,96,3.07,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment expresses a sense of uncertainty and disillusionment regarding the content or context being discussed, possibly due to the presence of a paid promotion tag which may indicate commercialization or alteration of original content.",2.22,0.01,176,0.23,61,1.98,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment expresses a positive emotion with the use of emojis and an enthusiastic statement. The phrase 'I am so good' conveys satisfaction or approval, while the repeated laughter emojis reinforce a happy or content mood.",2.20,0.01,150,0.13,64,2.06,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong positive sentiment through words like 'best' and 'awesome.' The speaker praises the content, indicating high satisfaction. The use of 'Thanks for all the awesome content!' reinforces a positive experience.",2.47,0.01,205,0.30,66,2.15,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment uses a laughing emoji, which suggests mild amusement or surprise. However, the phrase 'she paid 500 for an advertisement' implies that the speaker is dissatisfied with the cost of the ad. The combination of humor and underlying dissatisfaction leads to an overall negative sentiment.",2.67,0.01,155,0.13,79,2.52,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses enthusiasm and admiration for Jason's performance. The use of words like 'great' (implied through context) and 'definitely' conveys a positive sentiment, indicating that Jason is considered the greatest talent in his field.",2.39,0.01,156,0.13,70,2.24,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses enthusiasm and appreciation for the 'waterfall trick.' The use of words like 'always love' and 'impressive' clearly conveys a positive sentiment. The tone is upbeat, highlighting the effectiveness or enjoyment of the trick.",2.47,0.01,146,0.13,72,2.33,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the trickery, finds it impressive, and concludes with a positive affirmation of the magic being real. The use of words like 'impressive' and 'mastered' conveys approval and confidence.",2.48,0.01,187,0.23,69,2.24,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses the word 'burning' which conveys a sense of intense frustration or anger. The exclamation mark and the use of emojis like 😂 also add to the emotional intensity, suggesting that the speaker is frustrated with the CGI machine.",2.44,0.01,149,0.13,72,2.30,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The comment expresses a critical sentiment towards the creator's use of CGI, suggesting that having multiple employees for such tasks is costly and perhaps unnecessary. The phrase 'Genius is expensive' conveys frustration or disapproval about the high cost associated with creating such content, indicating a negative evaluation of the creator's work.",3.01,0.01,170,0.22,86,2.78,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration with Mr. Jason's approach of engaging with the audience as if they are present, instead of acknowledging their presence through appropriate methods such as asking questions or providing value. The phrase 'talking to the wall' is a common metaphor indicating disinterest or a lack of genuine interaction. This sentiment reflects a negative view towards how engagement was handled in the video.",3.31,0.01,155,0.13,99,3.17,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment expresses disappointment or criticism towards leaving in a blooper. The word 'respect' is used here, but it conveys more of a negative sentiment as it suggests dissatisfaction with the action taken.",2.21,0.01,145,0.13,64,2.07,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses strong admiration and excitement towards the creator's performance, using words like 'master goat' which conveys high praise and enthusiasm.",1.90,0.01,181,0.23,51,1.66,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment expresses a negative sentiment towards someone who is considered the best at their task by using words like 'arrogant' and 'certainly earned the right.' The tone suggests disapproval or frustration with the person's attitude, indicating a negative sentiment.",2.61,0.01,158,0.13,76,2.46,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses enthusiasm and appreciation for the waterfall with two cards, indicating a positive sentiment.",1.55,0.01,146,0.13,42,1.41,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses a positive sentiment towards the channel and its presenter. The phrase 'I really enjoy this channel' indicates satisfaction with the content. The use of 'mind blowing' to describe the presenter's skills conveys admiration and enthusiasm. Additionally, the inclusion of emojis like ✌️ and 🇨🇦 adds an element of friendliness and warmth, further enhancing the positive tone.",3.29,0.01,160,0.13,99,3.15,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment expresses frustration and confusion about not understanding how someone, possibly the creator or a character in a video, achieved a specific effect or trick. The use of words like 'dark silver car' and 'green case' suggests attention to detail but also indicates that the speaker couldn't grasp the method described. This lack of comprehension leads to a negative sentiment.",3.31,0.01,208,0.31,93,2.99,0,1,8192
