Comment,mistral-small:22b - Sentiment,mistral-small:22b - Reasoning,mistral-small:22b - Total Duration,mistral-small:22b - Load Duration,mistral-small:22b - Prompt Eval Count,mistral-small:22b - Prompt Eval Duration,mistral-small:22b - Eval Count,mistral-small:22b - Eval Duration,mistral-small:22b - Temperature,mistral-small:22b - Seed,mistral-small:22b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses a clear intention to leave, indicating dissatisfaction. The use of the phrase 'getting old' suggests that the content is no longer fresh or appealing. The final phrase 'Peace out' is often used as a casual way to say goodbye, but in this context, it reinforces the idea of departure due to disinterest or boredom.",13.71,0.02,172,6.02,100,7.67,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses a strong positive emotional tone throughout, with several key phrases indicating appreciation and admiration. The use of 'love' and 'thank you' shows gratitude towards Jason and his videos. The request for a trick with the numbers 6, 1, and 8 is made in a polite and respectful manner, demonstrating the commenter's enthusiasm and excitement. The mention of future plans to attend a show further highlights the positive sentiment. Overall, the context of the comment is one of support and admiration for Jason and his work.",12.31,0.01,318,1.71,136,10.60,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"Tone analysis: The comment has a critical and dismissive tone. Key phrases or words that influenced the decision include 'trash talks' and 'no one is safe.' These phrases suggest that the commenter is not impressed with the subject of the video, indicating a negative sentiment. Context consideration: Without additional context from the transcript, it's challenging to provide more specific details, but the use of 'trash talks' implies that the subject is being self-deprecating or overly critical in a way that the commenter finds unappealing.",10.84,0.01,169,0.34,137,10.49,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"Tone analysis: The comment expresses a sense of disillusionment and skepticism, indicated by phrases like 'I don't even know what's real anymore.' Word choice: The use of the phrase 'paid promotion' suggests that the commenter is aware of and possibly cynical about promotional content. Context consideration: The comment seems to be reacting to a video or channel that includes paid promotions, which the commenter finds disheartening. Overall, the sentiment leans towards negativity due to the expressed confusion and loss of trust.",11.30,0.01,201,0.61,139,10.68,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment 'I am so good' 🤣🤣🤣 expresses a positive emotional tone. The use of the word 'good' in this context suggests self-satisfaction or pride, which is typically associated with positive sentiment. Additionally, the inclusion of laughing emojis (🤣🤣🤣) reinforces the positive and happy nature of the comment.",7.58,0.01,168,0.34,95,7.23,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong admiration and enthusiasm towards the subject of the video. The use of phrases such as 'hands down the best I've ever seen' and 'it's not even close' indicates a high level of praise and appreciation. Additionally, the commenter expresses gratitude for the content provided ('Thanks for all the awesome content!') and even suggests that they would enjoy spending time with the subject ('he seems like he'd be a helluva guy to hang out with!'). The overall tone is enthusiastic and complimentary, which leads to the classification of POSITIVE sentiment.",12.29,0.01,231,0.87,148,11.41,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment expresses approval with the phrase 'Nicely done,' indicating satisfaction or praise. The mention of paying 500 for an advertisement is neutral in tone, and the use of a laughing emoji (😂) suggests amusement rather than criticism. Overall, the emotional tone is positive.",6.74,0.01,175,0.35,84,6.39,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a positive emotional tone throughout. Key phrases and words that influenced this decision include: 'even better live', 'GOAT'. The context of seeing Jason live in Boca Raton suggests a personal experience that the user found enjoyable and impressive, leading to the classification of POSITIVE sentiment.",6.82,0.01,179,0.35,85,6.47,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses a consistent positive tone throughout. The use of the word 'love' indicates strong affection and enthusiasm for the subject matter, while 'always' suggests that this sentiment is not temporary but rather enduring. The phrase 'truly impressive' further emphasizes admiration and respect for the waterfall trick. There are no negative words or phrases present in the comment, which reinforces its overall positive nature.",8.51,0.01,168,0.34,107,8.16,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration and amazement towards the performer's magic tricks. The use of phrases like 'very closely', 'never spot how in the world', and 'mastered it!' indicates a high level of engagement, respect, and genuine appreciation for the skills demonstrated. The overall tone is enthusiastic and complimentary, leading to a positive sentiment classification.",8.04,0.01,209,0.61,97,7.42,0,1,8192
