Comment,smollm2:135m - Sentiment,smollm2:135m - Reasoning,smollm2:135m - Total Duration,smollm2:135m - Load Duration,smollm2:135m - Prompt Eval Count,smollm2:135m - Prompt Eval Duration,smollm2:135m - Eval Count,smollm2:135m - Eval Duration,smollm2:135m - Temperature,smollm2:135m - Seed,smollm2:135m - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is expressing a positive sentiment about leaving the company. The key phrases or words used in the comment include: ",0.49,0.01,180,0.18,59,0.30,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"My classification is positive, based on the sentiment analysis of the comment. Key phrases or words that influenced my decision are: 1) ",0.30,0.01,323,0.02,49,0.27,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it contains a negative sentiment. The comment expresses frustration with the lack of safety in the workplace due to the frequent trash talk from coworkers.",0.33,0.01,178,0.01,62,0.31,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is predominantly positive in nature. The sentiment is characterized by a mix of positive emotions such as enthusiasm and excitement, along with neutral words like ",0.36,0.01,207,0.01,64,0.34,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is predominantly positive. The sentiment of the comment can be classified as POSITIVE based on its overall positivity and emphasis on the speaker's good qualities.",0.35,0.01,182,0.01,66,0.33,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"Analyzing the comment reveals that it is overwhelmingly positive, indicating that the person found the videos highly engaging and thought-provoking. The sentiment is also consistent with the overall tone of the comments, which are generally positive and supportive.",0.35,0.01,234,0.01,65,0.33,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"Analyzed the comment's emotional tone, word choice, and context.",0.19,0.00,184,0.01,34,0.17,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive.",0.23,0.01,189,0.01,41,0.21,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive. The comment mentions a waterfall trick, which implies an impressive skill or technique.",0.29,0.01,176,0.01,55,0.27,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals a positive sentiment. The comment highlights the fact that the person has been watching you closely for quite some time and is able to identify your tricks with ease.",0.34,0.01,216,0.01,65,0.32,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"Analyzing the comment, we can see that it is expressing a strong negative sentiment. The text contains several phrases and words that suggest a negative tone, such as: ",0.40,0.01,178,0.01,70,0.39,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive. The comment mentions a great vid, which implies that the person has enjoyed it, and Genius is expensive, suggesting that they are serious about their product or service.",0.39,0.01,201,0.01,74,0.38,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive. The comment highlights the difficulties of communicating with a person who has been physically present for an extended period.",0.32,0.01,184,0.01,60,0.30,0,1,8192
Respect for leaving in the blooper,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is expressing a strong sentiment of respect towards the person who posted the video. The comment mentions that the person left a blooper in the video, which suggests that they are not happy with the content.",0.40,0.00,175,0.01,76,0.38,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive.",0.24,0.01,223,0.01,41,0.22,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it expresses admiration for someone with exceptional skills in a particular field. The comment highlights the speaker's appreciation for their expertise and the fact that they have earned the right to be considered as an expert.",0.39,0.01,187,0.01,74,0.37,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is overwhelmingly positive.",0.23,0.01,175,0.01,40,0.21,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"Your classification (POSITIVE/NEUTRAL/NEGATIVE) is based on the context of your comment, which mentions that you enjoy the channel and its card manipulation skills. Your key phrases or words that influenced your decision are: ",0.55,0.01,195,0.01,93,0.53,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals a positive sentiment. The comment highlights the fact that the person is actively engaged in solving the mystery of the dark silver car behind Jasons head on the book shelf.",0.37,0.00,238,0.01,67,0.35,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is likely a positive sentiment.",0.24,0.00,173,0.01,43,0.22,0,1,8192
