Comment,llama3.2:1b - Sentiment,llama3.2:1b - Reasoning,llama3.2:1b - Total Duration,llama3.2:1b - Load Duration,llama3.2:1b - Prompt Eval Count,llama3.2:1b - Prompt Eval Duration,llama3.2:1b - Eval Count,llama3.2:1b - Eval Duration,llama3.2:1b - Temperature,llama3.2:1b - Seed,llama3.2:1b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The sentiment of this comment is NEGATIVE due to the following reasons:
- The commenter explicitly states that they are leaving, which implies a negative decision or intention.
- They use strong language, such as 'Very impressive but getting old', which conveys a sense of disappointment and frustration.
- The tone is also somewhat dismissive, with phrases like 'Peace out' that convey a sense of finality and negativity. 
- Additionally, the commenter's statement about being in San Diego for only $500 to see Dr Elana suggests that they are not satisfied with their experience or value the service provided.
- The use of all capital letters at the end of the comment ('Very impressive but getting old') also adds to the negative tone. Overall, the commenter's language and sentiment convey a strong sense of dissatisfaction and negativity towards Dr Elana and her cosmetic dentistry services.",3.08,0.01,614,0.92,197,2.14,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The sentiment of the comment is NEGATIVE due to several key phrases and words that influenced my decision. The tone is sarcastic, with phrases like 'Hey Jason, love you' which comes across as insincere and mocking. The request for a trick with the numbers 6, 1, and 8 is also seen as annoying and intrusive. Additionally, the comment expresses frustration and desperation, stating that they are deployed in Iraq and need entertainment to pass the time. The use of phrases like 'I wish you nothing but more success' and 'please keep posting so I don't die of boredom out here' further reinforces this negative sentiment. Furthermore, the comment ends with a sarcastic remark about not dying of boredom, which adds to the overall negative tone. Overall, the comment's emotional tone is one of annoyance, frustration, and desperation, making it NEGATIVE in sentiment.",2.33,0.01,756,0.11,196,2.21,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The tone of the comment is aggressive and confrontational, with a strong emphasis on criticizing Dr. Elana's skills as a cosmetic dentist. The use of phrases like 'trash talks himself' and 'no one is safe' further reinforces this negative sentiment. Additionally, the comment's language is sarcastic and dismissive, with the author implying that Dr. Elana is not competent or trustworthy. The context provided in the transcript suggests that the comment was made in response to a request for $500, which may have been seen as an insult or a challenge by Dr. Elana. Overall, the sentiment of this comment is clearly negative and hostile towards Dr. Elana's profession and services.",1.79,0.01,612,0.03,157,1.75,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The tone of this comment is sarcastic and dismissive, with a hint of irony. The use of emojis like 😅 and 🤣 suggests that the commenter is being facetious or tongue-in-cheek. The phrase 'I don't even know what's real anymore' implies that the commenter is questioning the authenticity of the promotion. Additionally, the comment's tone seems to be mocking the idea of a paid promotion, which could suggest that the commenter is skeptical about the value for money. Furthermore, the use of phrases like 'the goal' and 'hustle' may imply that the commenter is not genuinely enthusiastic about the product or service being promoted. Overall, the comment's tone and language suggest that it is negative in sentiment.",1.88,0.01,639,0.04,167,1.83,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,"The comment's emotional tone is one of arrogance and boastfulness, as evident from the repeated use of 'I am so good'. The phrase 'that's easy' also implies a sense of superiority. Additionally, the excessive use of exclamation marks ('🤣') further reinforces this negative sentiment. Furthermore, the context suggests that Dr. Elana is being advertised for her cosmetic services, which may not be something to be proud of. Overall, the tone and language used in the comment convey a negative attitude towards Dr. Elana's profession.",1.39,0.01,616,0.03,128,1.35,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment starts by expressing enthusiasm and admiration for the speaker, using phrases such as 'hands down the best', 'helluva guy', and 'awesome content'. The tone is overwhelmingly positive, with a sense of excitement and approval. Key phrases that influenced this decision include 'I've ever seen' and 'thanks for all the awesome content', which convey a strong sense of satisfaction and appreciation. Additionally, the use of superlatives such as 'best' and 'helluva guy' emphasizes the speaker's positive opinion. The context is also supportive, with the comment expressing gratitude towards the speaker for their content, further solidifying the overall positive sentiment.",1.72,0.01,668,0.05,150,1.65,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment's tone is sarcastic and mocking, with phrases like 'pull a queen and an ace together' and 'you're advertising pull a queen and an ace together'. The use of emojis like 😂 also adds to the negative sentiment. Additionally, the comment seems to be making fun of Dr Elana's request for $500, implying that it was overpriced or unnecessary. The context from the transcript suggests that Dr Elana is a cosmetic dentist in San Diego and that her request is unusual, which may have contributed to the negative tone. Overall, the comment appears to be expressing disappointment and frustration with Dr Elana's request.",1.63,0.01,616,0.03,147,1.59,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,NEGATIVE,"The comment's emotional tone is overwhelmingly positive, with a strong emphasis on praise and admiration for Dr. Elana. The use of superlatives such as 'GOAT' and 'even better live' indicates a high level of enthusiasm and approval. However, the tone becomes even more extreme when the commenter mentions that they are 'pulling a queen and an ace together from the waterfall', which suggests a sense of arrogance and overconfidence. The use of phrases like 'you guys hear that King from the deck um pulling a queen and an ace together' also implies a level of self-importance. Additionally, the commenter's tone becomes even more aggressive when they mention that Dr. Elana is 'pulling off magic tricks', which suggests a sense of superiority and disdain for others who may not be as skilled or talented. Overall, the comment's sentiment is clearly negative due to its excessive praise and lack of humility.",2.26,0.01,621,0.03,202,2.21,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment starts with a enthusiastic tone, using phrases like 'always love', which indicates a strong positive sentiment. The use of superlatives such as 'truly impressive' further reinforces this positive emotion. Additionally, the phrase 'I am so good anyway' is an exaggerated expression of confidence, suggesting that the speaker has high praise for Dr Elana's skills. Furthermore, the comment concludes with a call-to-action, stating that viewers should go to San Diego to see her, which implies a sense of excitement and encouragement. The use of words like 'easy', 'hustle', and 'truly impressive' also contribute to the overall positive sentiment. Considering the context of the video, it appears that the speaker is genuinely impressed with Dr Elana's skills and wants viewers to experience this for themselves. Overall, the tone and language used in the comment convey a strong positive emotion towards Dr Elana and her cosmetic dentistry services.",2.33,0.01,609,0.03,206,2.29,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with words like 'got my attention', 'easy', 'legit', and 'good'. The use of phrases like 'I can never spot how' and 'you're a queen and an ace' further emphasizes the speaker's admiration. Additionally, the tone is enthusiastic and encouraging, as seen in the phrase 'welcome to the hustle'. The context provided by the transcript suggests that the comment is from someone who has been watching the video creator perform magic tricks and is impressed by their skills. The use of phrases like 'I have been watching you very closely' also implies a sense of respect and admiration for the creator's abilities, which contributes to the overall positive sentiment of the comment.",1.86,0.01,648,0.04,164,1.81,0,1,8192
