Comment;Human Annotator;DeepSeek-R1:1.5b;DeepSeek-R1:7b;DeepSeek-R1:8b;DistilBERT-sst2;Gemma2:2b;Gemma2:9b;InternLM2:7b;InternLM2:1.8b;Llama3.2:1b;Llama3.2:3b;Mistral-small:22b;Phi-3.5:3.8b;Phi4:14b;Qwen2.5:0.5b;Qwen2.5:1.5b;Qwen2.5:3b;Qwen2.5:7b;SmolLM2:135m;SmolLM2:360m;SmolLM2:1.7b
Hallo1;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEUTRAL;NEUTRAL;NEUTRAL;NEGATIVE;NEGATIVE;NEGATIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE
Hallo2;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo3;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo4;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE
Hallo5;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE
Hallo6;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo7;POSITIVE;NEUTRAL;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo8;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo9;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo10;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo11;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo12;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo13;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo14;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo15;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo16;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo17;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo18;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo19;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEUTRAL;POSITIVE;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEUTRAL;POSITIVE;NEUTRAL;POSITIVE;NEGATIVE;NEGATIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE
Hallo20;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEUTRAL;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE
