Comment,deepseek-r1:8b - Sentiment,deepseek-r1:8b - Reasoning,deepseek-r1:8b - Total Duration,deepseek-r1:8b - Load Duration,deepseek-r1:8b - Prompt Eval Count,deepseek-r1:8b - Prompt Eval Duration,deepseek-r1:8b - Eval Count,deepseek-r1:8b - Eval Duration,deepseek-r1:8b - Temperature,deepseek-r1:8b - Seed,deepseek-r1:8b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The comment mentions 'Very impressive' which is a positive phrase, indicating approval or praise. However, the use of 'getting old' could imply some negativity about the content becoming outdated. The overall sentiment leans slightly towards positive due to the initial praise but acknowledges a flaw.",5.16,0.02,161,2.67,76,2.47,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment starts with 'love you and your videos,' indicating strong positive feelings towards the content creator. Words like 'thank you' and 'entertained me' further convey gratitude and enjoyment. The requester asks for a specific trick, showing they are actively engaged with the content and looking forward to future content. They also express excitement about attending a show when they return, which adds to the positive tone. Overall, the comment is filled with appreciation, requests for more content, and anticipation of future events, all of which contribute to a positive sentiment.",5.06,0.01,303,0.56,135,4.49,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"The comment mentions 'trash talks himself' which can imply self-deprecating humor, often seen in positive or light-hearted contexts. Additionally, the phrase suggests that no one is safe, which could mean that even confident individuals can be vulnerable to self-criticism, adding a layer of humor and relatability.",2.95,0.01,159,0.14,86,2.80,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment starts with a smiley face and exclamation mark, indicating a positive tone. The phrase 'I love how' suggests enthusiasm. Words like 'goal' imply admiration or respect for the person being addressed. Overall, the sentiment is positive.",2.86,0.01,186,0.24,79,2.61,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment uses an exclamation mark and emojis, indicating a positive emotional tone. The phrase 'I am so good' reflects confidence and satisfaction, which are positive sentiments.",2.21,0.01,163,0.14,62,2.05,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong admiration and appreciation, using words like 'best I've ever seen' and 'helluva guy.' The tone is enthusiastic and positive. Key phrases include 'doesn't matter how many times I watch these videos' indicating dedication and satisfaction. Overall, the sentiment is clearly positive.",3.27,0.01,215,0.33,88,2.92,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment uses a positive tone with 'nicely done' and adds humor with the laughing emoji. The mention of paying $500 for an ad suggests a light-hearted critique, but overall, the sentiment remains positive as it's presented in a humorous context rather than a negative one.",2.92,0.01,163,0.14,84,2.77,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a strong positive sentiment towards Jason's performance, calling him 'even better live' and labeling him as 'the GOAT,' which stands for Greatest Of All Time. The use of exclamation marks emphasizes the intensity of the praise. Additionally, the context from the transcript shows that the user has seen Jason perform multiple times, indicating a significant positive experience.",3.50,0.01,168,0.14,102,3.34,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment 'Always love the waterfall trick! Truly impressive' exhibits a strong positive tone. The use of exclamation marks and the words 'love' and 'impressive' indicate enthusiasm and admiration. There are no negative words or phrases present, which further supports a positive sentiment.",2.96,0.01,156,0.14,85,2.81,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment starts with a positive tone, expressing admiration for the performer's skills. Words like 'tricks' and 'mastered' indicate respect and appreciation. The user acknowledges the performer's ability after careful analysis, which shows thoughtful consideration. Overall, the sentiment is positive as it praises the performer's work.",3.26,0.01,195,0.24,91,3.01,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The comment uses a smiley emoji and the phrase '😂' which indicates a positive emotional tone. The word 'burning' is used in a playful context, suggesting that the person finds the CGI work impressive or amusing rather than critical. Additionally, the use of emojis adds to the lightheartedness of the comment.",3.33,0.01,159,0.14,97,3.17,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment starts with 'Another great vid' which immediately indicates a positive tone. The phrase 'His CGI crew must be up to half a dozen employees by now' suggests admiration for the creator's success and growth, implying positivity. Finally, 'Genius is expensive' could be seen as a compliment, acknowledging that high costs are a result of exceptional work. Overall, the comment conveys admiration and approval.",3.90,0.01,180,0.24,111,3.65,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"The comment humorously refers to Mr. Jason's difficulty in a situation, implying that he is engaging with something or someone who isn't responsive. The use of 'talking to the wall' suggests a light-hearted take on his challenge, which can be seen as endearing rather than negative. Additionally, the phrase 'like there is actually someone standing' adds a humorous twist, indicating that the situation might be amusing rather than frustrating. Overall, the tone is playful and not critical, hence POSITIVE.",4.14,0.01,165,0.14,123,3.98,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment 'Respect for leaving in the blooper' demonstrates a positive sentiment. The word 'respect' is a strong indicator of appreciation, and it is often associated with positive feelings. Additionally, the phrase 'leaving in the blooper' suggests that the person acknowledges and appreciates the imperfection or mistake, which further conveys a positive tone.",3.24,0.01,156,0.14,95,3.09,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment is filled with laughter emojis and exclamation marks, indicating a positive emotional tone. Words like 'stunned' and 'master goat' convey admiration and respect, further contributing to a positive sentiment. The use of 'greetz' and party-related emojis also adds to the celebratory atmosphere.",3.21,0.01,193,0.24,89,2.95,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses admiration for someone's skill and acknowledges their achievements, which are positive sentiments. Words like 'love' and 'earned the right' indicate a positive tone. The speaker appreciates the individual's expertise and confidence, which is often associated with positivity.",2.82,0.01,168,0.14,81,2.67,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment uses an exclamation mark and the word 'incredible' which are indicators of strong positive emotion. The phrase 'Waterfall with two cards' suggests a visually stunning or impressive scene, further reinforcing a positive tone.",2.33,0.01,156,0.14,67,2.18,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment starts with 'I really enjoy this channel,' which is a strong positive indicator. The phrase 'mind blowing' further emphasizes the positivity by highlighting impressive skills. The closing 'Take care eh ✌️🇨🇦' adds a friendly and positive tone, using emojis to convey happiness and well wishes. Overall, the comment expresses admiration and appreciation, making the sentiment clearly positive.",3.48,0.01,174,0.14,102,3.32,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,The comment shows excitement and curiosity about solving a puzzle or mystery. Words like 'Aha!mm' and 'figuree it out' indicate eagerness and satisfaction upon solving something. The mention of paying close attention to details suggests a positive engagement with the content.,3.08,0.01,217,0.34,82,2.73,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' has a positive tone. The word 'legit' conveys approval or positivity, indicating that the user is acknowledging something as valid or genuine. Additionally, the phrase 'obviously' suggests confidence in the statement, further contributing to a positive sentiment. Without additional context from the transcript, I can infer that this comment is likely made in a supportive or approving manner.",3.76,0.01,153,0.14,110,3.61,0,1,8192
