Comment,internlm2:1.8b - Sentiment,internlm2:1.8b - Reasoning,internlm2:1.8b - Total Duration,internlm2:1.8b - Load Duration,internlm2:1.8b - Prompt Eval Count,internlm2:1.8b - Prompt Eval Duration,internlm2:1.8b - Eval Count,internlm2:1.8b - Eval Duration,internlm2:1.8b - Temperature,internlm2:1.8b - Seed,internlm2:1.8b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment contains negative language, such as 'Leaving.' and 'Very impressive but getting old,' which indicates a negative sentiment towards the content of the YouTube video. Additionally, the phrase 'Peace out' further emphasizes the negative sentiment.",1.65,0.01,614,0.98,68,0.65,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment contains negative language and requests for specific actions, which indicates a negative sentiment. The mention of 'tricks' and 'dates' as requested by the commenter suggests that there is an expectation or desire for such content from the channel's perspective. Additionally, the commenter's use of 'I am so good anyway' implies a lack of appreciation or positive sentiment towards the content they receive.",1.11,0.01,756,0.14,97,0.96,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment contains negative language and phrases such as 'even trash talks himself', which indicates a negative sentiment. The mention of 'no one is safe' further emphasizes the negative tone, suggesting that the user does not find the content or message positive.",0.71,0.01,611,0.04,69,0.66,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEUTRAL,"The comment contains a mix of positive and neutral sentiments. The phrase ""welcome to the hustle"" suggests an initial positive sentiment, while the rest of the text does not significantly enhance or diminish this sentiment. The use of ""includes paid promotion"" indicates a neutral sentiment as it is a term used in advertising rather than expressing personal feelings.",0.92,0.01,642,0.06,86,0.85,0,1,8192
"""I am so good""  🤣🤣🤣",NEUTRAL,"The comment provides a positive sentiment with the phrase ""I am so good"". However, it lacks specific context about the video content or the nature of the request made for $500. The lack of detailed reasoning makes this analysis less comprehensive.",0.69,0.01,618,0.04,67,0.65,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses admiration and positive sentiment towards the subject, indicating that the person is highly satisfied with the content provided. The use of phrases like ""hands down the best"" and ""awesome content"" further emphasizes this positive sentiment.",0.74,0.01,666,0.08,66,0.65,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment contains negative language, such as 'nicely done' and 'she paid 500 for an advertisement'. This indicates a negative sentiment towards the content of the YouTube comment.",0.57,0.01,617,0.04,55,0.53,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a strong positive sentiment towards the YouTube content, which is likely due to the high praise and recognition it receives. The use of exclamation marks and the phrase ""Definitely the GOAT!!"" further emphasizes this positive sentiment.",0.70,0.01,621,0.04,67,0.66,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses a positive sentiment towards the waterfall trick. The use of words like ""always"" and ""love"" indicates a strong appreciation for this technique.",0.53,0.01,610,0.04,50,0.49,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,NEGATIVE,"The comment contains negative language, such as ""watch you very closely"" and ""mastered it,"" which indicates a negative sentiment. Additionally, the phrase ""After careful analysis I have decided that Magic is 100% real"" further emphasizes this negative sentiment.",0.76,0.01,647,0.06,71,0.69,0,1,8192
