Comment,mistral-small:22b - Sentiment,mistral-small:22b - Reasoning,mistral-small:22b - Total Duration,mistral-small:22b - Load Duration,mistral-small:22b - Prompt Eval Count,mistral-small:22b - Prompt Eval Duration,mistral-small:22b - Eval Count,mistral-small:22b - Eval Duration,mistral-small:22b - Temperature,mistral-small:22b - Seed,mistral-small:22b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The emotional tone of the comment is dismissive and somewhat disinterested, indicated by phrases like 'getting old' and 'Peace out'. The word choice suggests that while the commenter finds the content impressive, they are no longer engaged or interested in it. The context from the transcript involves a magic trick performance, which the commenter might have seen before, leading to their sentiment of the act being old and uninteresting.",19.30,0.01,658,10.24,112,9.05,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The emotional tone of the comment is overwhelmingly positive and appreciative. The use of phrases like 'love you and your videos', 'thank you for entertaining me', 'nothing but more success and growth on your channel', and 'all love from Iraq' indicates a strong sense of admiration and gratitude towards Jason. The context provided in the comment, where the user is deployed in Iraq and finds solace in Jason's videos, further emphasizes the positive impact Jason has had on their life. Additionally, the request for a specific trick with the numbers 6, 1, and 8 to celebrate their homecoming adds a personal touch that shows the user's enthusiasm and excitement.",15.26,0.01,805,1.74,163,13.52,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"The comment 'He even trash talks himself truly no one is safe' has a playful and humorous tone. The use of the phrase 'trash talks himself' suggests that the speaker finds the video entertaining and amusing, as it indicates self-deprecation or lighthearted criticism from the person in the video. Additionally, the phrase 'no one is safe' implies a sense of fun and unpredictability, which contributes to the overall positive sentiment. Considering the context of the transcript where the speaker is performing a magic trick and engaging with the audience, this comment fits well with the lighthearted and entertaining atmosphere.",12.72,0.01,656,0.35,152,12.36,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The emotional tone of the comment is playful and enthusiastic, indicated by the use of emojis (😅) and exclamation marks. The phrase 'Welcome to the hustle, indeed!' suggests agreement and support for the content or creator. The mention of the 'includes paid promotion' tag shows awareness but does not express negativity; instead, it is followed by a statement of admiration ('you are still the goal'). This comment acknowledges the promotional aspect without criticizing it, maintaining an overall positive sentiment.",11.31,0.01,688,0.62,131,10.68,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The emotional tone of the comment is playful and self-congratulatory. The use of the phrase 'I am so good' indicates a sense of pride or accomplishment, which is further emphasized by the inclusion of laughing emojis (🤣🤣🤣). This suggests that the commenter is expressing satisfaction with their performance in the context provided by the video transcript. The overall sentiment is positive due to the self-assured and humorous nature of the comment.",10.16,0.01,654,0.35,121,9.80,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The emotional tone of the comment is enthusiastic and admiring. The use of phrases such as 'hands down the best I've ever seen,' 'it's not even close,' and 'a helluva guy to hang out with!' indicates a high level of praise and appreciation for the content creator. Additionally, the commenter expresses gratitude for the 'awesome content,' which further emphasizes their positive sentiment. Considering the video context where the creator is showcasing impressive card tricks and promoting a dentist, the comment aligns well with the entertaining and engaging nature of the video.",12.77,0.01,717,0.89,145,11.87,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The emotional tone of the comment is playful and amused, indicated by the use of 'Nicely done' and the laughing emoji '😂'. The word choice 'she paid 500 for an advertisement' suggests a lighthearted acknowledgment of the transactional nature of the video content. Given the context from the transcript where the creator is performing a trick and mentioning a $500 payment, the comment seems to be appreciative of the performance while also recognizing the business aspect. Overall, the comment conveys a positive sentiment towards the video.",11.92,0.01,663,0.35,142,11.56,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The emotional tone of the comment is enthusiastic and admiring. The use of phrases like 'even better live' and 'definitely the GOAT!!' indicates a high level of praise and appreciation for Jason's performance. There are no negative words or phrases that detract from this positive sentiment. Considering the video context, which involves a magic trick and an advertisement for a cosmetic dentist, the comment is not directly related but maintains a positive tone overall.",10.01,0.01,667,0.35,119,9.65,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The emotional tone of the comment is enthusiastic and admiring. The use of phrases like 'always love' and 'truly impressive' indicates a strong positive sentiment towards the waterfall trick mentioned in the video transcript. These key phrases highlight the commenter's appreciation and admiration for the skill demonstrated, which aligns with the context of the video where the performer showcases their card tricks.",8.76,0.01,656,0.35,104,8.40,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The emotional tone of the comment is admiring and enthusiastic, with phrases like 'I have been watching you very closely' and 'you my friend have mastered it!' indicating a high level of engagement and respect. The use of words such as 'tricks,' 'pull these tricks off,' and 'mastered it' suggests that the commenter is genuinely impressed by the skills demonstrated in the video. Considering the context from the transcript, where the performer showcases card tricks and mentions a $500 request, the comment aligns with the theme of admiration for skilled performance. Overall, the comment expresses a positive sentiment towards the performer's abilities.",13.88,0.01,695,0.62,162,13.24,0,1,8192
